OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Ice Storm - Number of Events,Ice Storm - Annualized Frequency,Ice Storm - Exposure - Impacted Area (sq mi),Ice Storm - Exposure - Building Value,Ice Storm - Exposure - Population,Ice Storm - Exposure - Population Equivalence,Ice Storm - Exposure - Total,Ice Storm - Historic Loss Ratio - Buildings,Ice Storm - Historic Loss Ratio - Population,Ice Storm - Historic Loss Ratio - Total Rating,Ice Storm - Expected Annual Loss - Building Value,Ice Storm - Expected Annual Loss - Population,Ice Storm - Expected Annual Loss - Population Equivalence,Ice Storm - Expected Annual Loss - Total,Ice Storm - Expected Annual Loss Score,Ice Storm - Expected Annual Loss Rating,Ice Storm - Expected Annual Loss Rate - Building,Ice Storm - Expected Annual Loss Rate - Population,Ice Storm - Expected Annual Loss Rate - National Percentile,Ice Storm - Hazard Type Risk Index Value,Ice Storm - Hazard Type Risk Index Score,Ice Storm - Hazard Type Risk Index Rating,National Risk Index Version
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,0.00,0.01,469.23,"375,920,365.00","2,678.00","36,688,600,000.00","37,064,520,365.00",0.00,0.00,Very Low,338.81,0.00,182.70,521.51,6.03,Very Low,0.00,0.00,29.72,583.14,5.93,Very Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,0.00,0.01,323.84,"374,194,684.00","2,100.00","28,770,000,000.00","29,144,194,684.00",0.00,0.00,Very Low,337.25,0.00,143.27,480.52,5.46,Very Low,0.00,0.00,31.42,622.64,6.38,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,0.00,0.01,1.18,"420,741,753.00","2,740.00","37,538,000,000.00","37,958,741,753.00",0.00,0.00,Very Low,379.20,0.00,186.93,566.13,6.61,Very Low,0.00,0.00,29.24,445.15,4.37,Very Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,0.00,0.01,0.54,"708,351,504.00","3,213.00","44,018,100,000.00","44,726,451,504.00",0.00,0.00,Very Low,638.42,0.00,219.20,857.62,11.02,Very Low,0.00,0.00,30.97,868.87,9.59,Very Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,0.00,0.01,1.20,"416,834,188.00","2,774.00","38,003,800,000.00","38,420,634,188.00",0.00,0.00,Very Low,375.68,0.00,189.25,564.93,6.58,Very Low,0.00,0.00,28.96,648.13,6.73,Very Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,0.00,0.01,0.47,"332,294,641.00","2,500.00","34,250,000,000.00","34,582,294,641.00",0.00,0.00,Very Low,299.49,0.00,170.56,470.05,5.32,Very Low,0.00,0.00,28.18,494.80,4.93,Very Low,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,0.00,0.01,0.34,"210,911,397.00","1,464.00","20,056,800,000.00","20,267,711,397.00",0.00,0.00,Very Low,190.09,0.00,99.88,289.97,3.32,Very Low,0.00,0.00,28.61,228.00,2.50,Very Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,0.00,0.01,1.07,"285,011,674.00","1,771.00","24,262,700,000.00","24,547,711,674.00",0.00,0.00,Very Low,256.87,0.00,120.82,377.70,4.17,Very Low,0.00,0.00,29.29,296.98,3.00,Very Low,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,0.00,0.01,0.29,"319,953,943.00","2,195.00","30,071,500,000.00","30,391,453,943.00",0.00,0.00,Very Low,288.37,0.00,149.75,438.11,4.90,Very Low,0.00,0.00,28.97,344.49,3.44,Very Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,0.00,0.01,0.87,"504,925,697.00","2,624.00","35,948,800,000.00","36,453,725,697.00",0.00,0.00,Very Low,455.07,0.00,179.02,634.09,7.55,Very Low,0.00,0.00,30.24,734.27,7.79,Very Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,0.00,0.01,0.32,"491,381,281.00","2,774.00","38,003,800,000.00","38,495,181,281.00",0.00,0.00,Very Low,442.87,0.00,189.25,632.12,7.53,Very Low,0.00,0.00,29.68,497.04,4.95,Very Low,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,0.00,0.01,0.46,"474,000,379.00","3,112.00","42,634,400,000.00","43,108,400,379.00",0.00,0.00,Very Low,427.20,0.00,212.31,639.51,7.63,Very Low,0.00,0.00,29.12,761.67,8.15,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,0.00,0.01,3.34,"1,051,686,629.00","3,608.00","49,429,600,000.00","50,481,286,629.00",0.00,0.00,Very Low,947.85,0.00,246.15,"1,194.00",16.41,Very Low,0.00,0.00,32.42,"1,323.64",15.98,Very Low,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,0.00,0.01,2.41,"627,754,965.00","2,758.00","37,784,600,000.00","38,412,354,965.00",0.00,0.00,Very Low,565.78,0.00,188.16,753.94,9.36,Very Low,0.00,0.00,31.12,"1,078.21",12.43,Very Low,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,0.00,0.01,1.17,"1,381,442,795.00","4,147.00","56,813,900,000.00","58,195,342,795.00",0.00,0.00,Very Low,"1,245.05",0.00,282.92,"1,527.97",21.48,Very Low,0.00,0.00,32.90,"1,551.87",19.15,Very Low,December 2025
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,"1,555,396,221.00",0.00,1.53,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,"607,852,535.00",0.00,1.54,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,"603,550,524.00",0.00,0.38,0.00,0.01,0.38,"603,550,524.00","3,215.00","44,045,500,000.00","44,649,050,524.00",0.00,0.00,Very Low,543.96,0.00,219.34,763.30,9.51,Very Low,0.00,0.00,30.32,672.66,7.04,Very Low,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,"988,495,965.00",0.00,0.44,0.00,0.01,0.44,"988,495,965.00","3,770.00","51,649,000,000.00","52,637,495,965.00",0.00,0.00,Very Low,890.90,0.00,257.20,"1,148.10",15.75,Very Low,0.00,0.00,32.07,"1,362.34",16.55,Very Low,December 2025
24067,T15003000901,Hawaii,HI,15,Honolulu,County,003,15003,000901,15003000901,2613,"376,119,907.00",0.00,0.33,0.00,0.01,0.33,"376,119,907.00","2,613.00","35,798,100,000.00","36,174,219,907.00",0.00,0.00,Very Low,338.99,0.00,178.27,517.25,5.95,Very Low,0.00,0.00,28.78,511.09,5.10,Very Low,December 2025
24068,T15003000903,Hawaii,HI,15,Honolulu,County,003,15003,000903,15003000903,3039,"442,498,564.00",0.00,0.24,0.00,0.01,0.24,"442,498,564.00","3,039.00","41,634,300,000.00","42,076,798,564.00",0.00,0.00,Very Low,398.81,0.00,207.33,606.14,7.16,Very Low,0.00,0.00,28.99,606.20,6.22,Very Low,December 2025
24069,T15003000904,Hawaii,HI,15,Honolulu,County,003,15003,000904,15003000904,1975,"354,072,809.00",0.00,0.25,0.00,0.01,0.25,"354,072,809.00","1,975.00","27,057,500,000.00","27,411,572,809.00",0.00,0.00,Very Low,319.12,0.00,134.74,453.86,5.10,Very Low,0.00,0.00,29.81,356.87,3.56,Very Low,December 2025
24070,T15003000905,Hawaii,HI,15,Honolulu,County,003,15003,000905,15003000905,2357,"490,748,993.00",0.00,0.33,0.00,0.01,0.33,"490,748,993.00","2,357.00","32,290,900,000.00","32,781,648,993.00",0.00,0.00,Very Low,442.30,0.00,160.80,603.10,7.12,Very Low,0.00,0.00,30.72,641.07,6.66,Very Low,December 2025
24071,T15003001000,Hawaii,HI,15,Honolulu,County,003,15003,001000,15003001000,3145,"326,647,639.00","15,612.00",3.28,0.00,0.01,3.28,"326,647,639.00","3,145.00","43,086,500,000.00","43,413,147,639.00",0.00,0.00,Very Low,294.40,0.00,214.56,508.96,5.84,Very Low,0.00,0.00,26.98,467.55,4.63,Very Low,December 2025
24072,T15003001101,Hawaii,HI,15,Honolulu,County,003,15003,001101,15003001101,1961,"169,190,035.00",0.00,0.12,0.00,0.01,0.12,"169,190,035.00","1,961.00","26,865,700,000.00","27,034,890,035.00",0.00,0.00,Very Low,152.49,0.00,133.79,286.27,3.30,Very Low,0.00,0.00,26.06,372.86,3.73,Very Low,December 2025
24073,T15003001102,Hawaii,HI,15,Honolulu,County,003,15003,001102,15003001102,2249,"185,074,403.00",0.00,0.20,0.00,0.01,0.20,"185,074,403.00","2,249.00","30,811,300,000.00","30,996,374,403.00",0.00,0.00,Very Low,166.80,0.00,153.43,320.24,3.58,Very Low,0.00,0.00,25.76,461.22,4.56,Very Low,December 2025
24074,T15003001201,Hawaii,HI,15,Honolulu,County,003,15003,001201,15003001201,3022,"440,272,231.00",0.00,0.21,0.00,0.01,0.21,"440,272,231.00","3,022.00","41,401,400,000.00","41,841,672,231.00",0.00,0.00,Very Low,396.80,0.00,206.17,602.97,7.11,Very Low,0.00,0.00,29.23,588.63,6.01,Very Low,December 2025
24075,T15003001202,Hawaii,HI,15,Honolulu,County,003,15003,001202,15003001202,3254,"339,011,590.00",0.00,0.20,0.00,0.01,0.20,"339,011,590.00","3,254.00","44,579,800,000.00","44,918,811,590.00",0.00,0.00,Very Low,305.54,0.00,222.00,527.54,6.12,Very Low,0.00,0.00,27.00,544.00,5.47,Very Low,December 2025
24076,T15003001300,Hawaii,HI,15,Honolulu,County,003,15003,001300,15003001300,4434,"831,364,011.00",0.00,0.36,0.00,0.01,0.36,"831,364,011.00","4,434.00","60,745,800,000.00","61,577,164,011.00",0.00,0.00,Very Low,749.28,0.00,302.50,"1,051.79",14.18,Very Low,0.00,0.00,30.36,"1,184.84",13.94,Very Low,December 2025
24077,T15003001400,Hawaii,HI,15,Honolulu,County,003,15003,001400,15003001400,2655,"393,739,190.00",0.00,0.20,0.00,0.01,0.20,"393,739,190.00","2,655.00","36,373,500,000.00","36,767,239,190.00",0.00,0.00,Very Low,354.87,0.00,181.13,536.00,6.22,Very Low,0.00,0.00,29.11,421.46,4.13,Very Low,December 2025
24078,T15003001501,Hawaii,HI,15,Honolulu,County,003,15003,001501,15003001501,1473,"189,696,231.00",0.00,0.09,0.00,0.01,0.09,"189,696,231.00","1,473.00","20,180,100,000.00","20,369,796,231.00",0.00,0.00,Very Low,170.97,0.00,100.49,271.46,3.16,Very Low,0.00,0.00,28.24,308.62,3.10,Very Low,December 2025
24079,T15003001502,Hawaii,HI,15,Honolulu,County,003,15003,001502,15003001502,2334,"332,852,179.00",0.00,0.13,0.00,0.01,0.13,"332,852,179.00","2,334.00","31,975,800,000.00","32,308,652,179.00",0.00,0.00,Very Low,299.99,0.00,159.23,459.22,5.18,Very Low,0.00,0.00,29.20,431.18,4.22,Very Low,December 2025
24080,T15003001601,Hawaii,HI,15,Honolulu,County,003,15003,001601,15003001601,1981,"316,741,887.00",0.00,0.12,0.00,0.01,0.12,"316,741,887.00","1,981.00","27,139,700,000.00","27,456,441,887.00",0.00,0.00,Very Low,285.47,0.00,135.15,420.62,4.69,Very Low,0.00,0.00,29.51,447.61,4.40,Very Low,December 2025
24081,T15003001602,Hawaii,HI,15,Honolulu,County,003,15003,001602,15003001602,1784,"242,244,281.00",0.00,0.12,0.00,0.01,0.12,"242,244,281.00","1,784.00","24,440,800,000.00","24,683,044,281.00",0.00,0.00,Very Low,218.33,0.00,121.71,340.04,3.78,Very Low,0.00,0.00,28.86,451.14,4.44,Very Low,December 2025
24082,T15003001700,Hawaii,HI,15,Honolulu,County,003,15003,001700,15003001700,2327,"568,690,702.00",0.00,1.03,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24083,T15003001801,Hawaii,HI,15,Honolulu,County,003,15003,001801,15003001801,1119,"1,046,165,932.00",0.00,0.07,0.00,0.01,0.07,"1,046,165,932.00","1,119.00","15,330,300,000.00","16,376,465,932.00",0.00,0.00,Very Low,942.88,0.00,76.34,"1,019.22",13.68,Very Low,0.00,0.00,35.79,"1,460.58",17.94,Very Low,December 2025
