OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Cold Wave - Number of Events,Cold Wave - Annualized Frequency,Cold Wave - Exposure - Impacted Area (sq mi),Cold Wave - Exposure - Building Value,Cold Wave - Exposure - Population,Cold Wave - Exposure - Population Equivalence,Cold Wave - Exposure - Agriculture Value,Cold Wave - Exposure - Total,Cold Wave - Historic Loss Ratio - Buildings,Cold Wave - Historic Loss Ratio - Population,Cold Wave - Historic Loss Ratio - Agriculture,Cold Wave - Historic Loss Ratio - Total Rating,Cold Wave - Expected Annual Loss - Building Value,Cold Wave - Expected Annual Loss - Population,Cold Wave - Expected Annual Loss - Population Equivalence,Cold Wave - Expected Annual Loss - Agriculture Value,Cold Wave - Expected Annual Loss - Total,Cold Wave - Expected Annual Loss Score,Cold Wave - Expected Annual Loss Rating,Cold Wave - Expected Annual Loss Rate - Building,Cold Wave - Expected Annual Loss Rate - Population,Cold Wave - Expected Annual Loss Rate - Agriculture,Cold Wave - Expected Annual Loss Rate - National Percentile,Cold Wave - Hazard Type Risk Index Value,Cold Wave - Hazard Type Risk Index Score,Cold Wave - Hazard Type Risk Index Rating,National Risk Index Version
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,0.07,0.00,365.81,"14,359,064.00",19.00,"260,300,000.00","150,460.00","274,809,524.00",0.00,0.00,0.00,Very Low,0.060856,0.00,5.96,0.88,6.90,16.68,Very Low,0.000000,0.00,0.00,86.42,6.80,15.64,Very Low,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,0.00,0.00,12.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,0.00,0.00,8.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,0.00,0.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,0.00,0.00,88.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,0.00,0.00,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,0.00,0.00,2.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,0.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
