OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Strong Wind - Number of Events,Strong Wind - Annualized Frequency,Strong Wind - Exposure - Impacted Area (sq mi),Strong Wind - Exposure - Building Value,Strong Wind - Exposure - Population,Strong Wind - Exposure - Population Equivalence,Strong Wind - Exposure - Agriculture Value,Strong Wind - Exposure - Total,Strong Wind - Historic Loss Ratio - Buildings,Strong Wind - Historic Loss Ratio - Population,Strong Wind - Historic Loss Ratio - Agriculture,Strong Wind - Historic Loss Ratio - Total Rating,Strong Wind - Expected Annual Loss - Building Value,Strong Wind - Expected Annual Loss - Population,Strong Wind - Expected Annual Loss - Population Equivalence,Strong Wind - Expected Annual Loss - Agriculture Value,Strong Wind - Expected Annual Loss - Total,Strong Wind - Expected Annual Loss Score,Strong Wind - Expected Annual Loss Rating,Strong Wind - Expected Annual Loss Rate - Building,Strong Wind - Expected Annual Loss Rate - Population,Strong Wind - Expected Annual Loss Rate - Agriculture,Strong Wind - Expected Annual Loss Rate - National Percentile,Strong Wind - Hazard Type Risk Index Value,Strong Wind - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Rating,National Risk Index Version
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,"1,555,396,221.00",0.00,1.53,1.00,0.01,1.12,"1,555,396,221.00","3,872.00","53,046,400,000.00",0.00,"54,601,796,221.00",0.00,0.00,0.00,Very Low,193.39,0.00,164.44,0.00,357.83,6.24,Very Low,0.00,0.00,0.00,20.57,343.00,4.34,Very Low,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,"607,852,535.00",0.00,1.54,1.00,0.01,1.21,"607,852,535.00","1,276.00","17,481,200,000.00",0.00,"18,089,052,535.00",0.00,0.00,0.00,Very Low,75.58,0.00,54.19,0.00,129.77,2.69,Very Low,0.00,0.00,0.00,21.43,135.86,1.69,Very Low,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,"603,550,524.00",0.00,0.38,1.00,0.01,0.38,"603,550,524.00","3,215.00","44,045,500,000.00",0.00,"44,649,050,524.00",0.00,0.00,0.00,Very Low,75.04,0.00,136.54,0.00,211.58,3.96,Very Low,0.00,0.00,0.00,15.28,186.45,2.35,Very Low,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,"988,495,965.00",0.00,0.44,1.00,0.01,0.44,"988,495,965.00","3,770.00","51,649,000,000.00",0.00,"52,637,495,965.00",0.00,0.00,0.00,Very Low,122.90,0.00,160.11,0.00,283.01,5.06,Very Low,0.00,0.00,0.00,17.49,335.82,4.26,Very Low,December 2025
24067,T15003000901,Hawaii,HI,15,Honolulu,County,003,15003,000901,15003000901,2613,"376,119,907.00",0.00,0.33,1.00,0.01,0.33,"376,119,907.00","2,613.00","35,798,100,000.00",0.00,"36,174,219,907.00",0.00,0.00,0.00,Very Low,46.76,0.00,110.97,0.00,157.74,3.12,Very Low,0.00,0.00,0.00,13.42,155.86,1.99,Very Low,December 2025
24068,T15003000903,Hawaii,HI,15,Honolulu,County,003,15003,000903,15003000903,3039,"442,498,564.00",0.00,0.24,1.00,0.01,0.24,"442,498,564.00","3,039.00","41,634,300,000.00",0.00,"42,076,798,564.00",0.00,0.00,0.00,Very Low,55.02,0.00,129.06,0.00,184.08,3.52,Very Low,0.00,0.00,0.00,13.67,184.10,2.33,Very Low,December 2025
24069,T15003000904,Hawaii,HI,15,Honolulu,County,003,15003,000904,15003000904,1975,"354,072,809.00",0.00,0.25,1.00,0.01,0.25,"354,072,809.00","1,975.00","27,057,500,000.00",0.00,"27,411,572,809.00",0.00,0.00,0.00,Very Low,44.02,0.00,83.88,0.00,127.90,2.66,Very Low,0.00,0.00,0.00,14.62,100.57,1.25,Very Low,December 2025
24070,T15003000905,Hawaii,HI,15,Honolulu,County,003,15003,000905,15003000905,2357,"490,748,993.00",0.00,0.33,1.00,0.01,0.33,"490,748,993.00","2,357.00","32,290,900,000.00",0.00,"32,781,648,993.00",0.00,0.00,0.00,Very Low,61.02,0.00,100.10,0.00,161.12,3.16,Very Low,0.00,0.00,0.00,15.78,171.26,2.18,Very Low,December 2025
24071,T15003001000,Hawaii,HI,15,Honolulu,County,003,15003,001000,15003001000,3145,"326,647,639.00","15,612.00",3.28,1.00,0.01,3.28,"326,647,639.00","3,145.00","43,086,500,000.00","15,612.00","43,413,163,251.00",0.00,0.00,0.00,Very Low,40.61,0.00,133.57,0.02,174.20,3.36,Very Low,0.00,0.00,0.00,11.81,160.03,2.04,Very Low,December 2025
24072,T15003001101,Hawaii,HI,15,Honolulu,County,003,15003,001101,15003001101,1961,"169,190,035.00",0.00,0.12,1.00,0.01,0.12,"169,190,035.00","1,961.00","26,865,700,000.00",0.00,"27,034,890,035.00",0.00,0.00,0.00,Very Low,21.04,0.00,83.28,0.00,104.32,2.24,Very Low,0.00,0.00,0.00,10.94,135.87,1.69,Very Low,December 2025
24073,T15003001102,Hawaii,HI,15,Honolulu,County,003,15003,001102,15003001102,2249,"185,074,403.00",0.00,0.20,1.00,0.01,0.20,"185,074,403.00","2,249.00","30,811,300,000.00",0.00,"30,996,374,403.00",0.00,0.00,0.00,Very Low,23.01,0.00,95.51,0.00,118.52,2.50,Very Low,0.00,0.00,0.00,10.66,170.71,2.17,Very Low,December 2025
24074,T15003001201,Hawaii,HI,15,Honolulu,County,003,15003,001201,15003001201,3022,"440,272,231.00",0.00,0.21,1.00,0.01,0.21,"440,272,231.00","3,022.00","41,401,400,000.00",0.00,"41,841,672,231.00",0.00,0.00,0.00,Very Low,54.74,0.00,128.34,0.00,183.08,3.51,Very Low,0.00,0.00,0.00,13.77,178.73,2.27,Very Low,December 2025
24075,T15003001202,Hawaii,HI,15,Honolulu,County,003,15003,001202,15003001202,3254,"339,011,590.00",0.00,0.20,1.00,0.01,0.20,"339,011,590.00","3,254.00","44,579,800,000.00",0.00,"44,918,811,590.00",0.00,0.00,0.00,Very Low,42.15,0.00,138.19,0.00,180.34,3.47,Very Low,0.00,0.00,0.00,11.80,185.97,2.35,Very Low,December 2025
24076,T15003001300,Hawaii,HI,15,Honolulu,County,003,15003,001300,15003001300,4434,"831,364,011.00",0.00,0.36,1.00,0.01,0.36,"831,364,011.00","4,434.00","60,745,800,000.00",0.00,"61,577,164,011.00",0.00,0.00,0.00,Very Low,103.37,0.00,188.31,0.00,291.67,5.21,Very Low,0.00,0.00,0.00,15.31,328.57,4.14,Very Low,December 2025
24077,T15003001400,Hawaii,HI,15,Honolulu,County,003,15003,001400,15003001400,2655,"393,739,190.00",0.00,0.20,1.00,0.01,0.20,"393,739,190.00","2,655.00","36,373,500,000.00",0.00,"36,767,239,190.00",0.00,0.00,0.00,Very Low,48.95,0.00,112.76,0.00,161.71,3.17,Very Low,0.00,0.00,0.00,13.78,127.15,1.57,Very Low,December 2025
24078,T15003001501,Hawaii,HI,15,Honolulu,County,003,15003,001501,15003001501,1473,"189,696,231.00",0.00,0.09,1.00,0.01,0.09,"189,696,231.00","1,473.00","20,180,100,000.00",0.00,"20,369,796,231.00",0.00,0.00,0.00,Very Low,23.59,0.00,62.56,0.00,86.14,1.93,Very Low,0.00,0.00,0.00,12.87,97.93,1.22,Very Low,December 2025
24079,T15003001502,Hawaii,HI,15,Honolulu,County,003,15003,001502,15003001502,2334,"332,852,179.00",0.00,0.13,1.00,0.01,0.13,"332,852,179.00","2,334.00","31,975,800,000.00",0.00,"32,308,652,179.00",0.00,0.00,0.00,Very Low,41.38,0.00,99.12,0.00,140.51,2.86,Very Low,0.00,0.00,0.00,13.67,131.93,1.64,Very Low,December 2025
24080,T15003001601,Hawaii,HI,15,Honolulu,County,003,15003,001601,15003001601,1981,"316,741,887.00",0.00,0.12,1.00,0.01,0.12,"316,741,887.00","1,981.00","27,139,700,000.00",0.00,"27,456,441,887.00",0.00,0.00,0.00,Very Low,39.38,0.00,84.13,0.00,123.51,2.59,Very Low,0.00,0.00,0.00,14.27,131.44,1.63,Very Low,December 2025
24081,T15003001602,Hawaii,HI,15,Honolulu,County,003,15003,001602,15003001602,1784,"242,244,281.00",0.00,0.12,1.00,0.01,0.12,"242,244,281.00","1,784.00","24,440,800,000.00",0.00,"24,683,044,281.00",0.00,0.00,0.00,Very Low,30.12,0.00,75.76,0.00,105.88,2.27,Very Low,0.00,0.00,0.00,13.36,140.48,1.78,Very Low,December 2025
24082,T15003001700,Hawaii,HI,15,Honolulu,County,003,15003,001700,15003001700,2327,"568,690,702.00",0.00,1.03,1.00,0.01,0.54,"568,690,702.00","2,327.00","31,879,900,000.00",0.00,"32,448,590,702.00",0.00,0.00,0.00,Very Low,70.71,0.00,98.83,0.00,169.53,3.29,Very Low,0.00,0.00,0.00,16.78,221.12,2.80,Very Low,December 2025
24083,T15003001801,Hawaii,HI,15,Honolulu,County,003,15003,001801,15003001801,1119,"1,046,165,932.00",0.00,0.07,1.00,0.01,0.07,"1,046,165,932.00","1,119.00","15,330,300,000.00",0.00,"16,376,465,932.00",0.00,0.00,0.00,Very Low,130.07,0.00,47.52,0.00,177.60,3.42,Very Low,0.00,0.00,0.00,24.93,254.50,3.19,Very Low,December 2025
24084,T15003001803,Hawaii,HI,15,Honolulu,County,003,15003,001803,15003001803,2902,"502,012,938.00",0.00,0.05,1.00,0.01,0.05,"502,012,938.00","2,902.00","39,757,400,000.00",0.00,"40,259,412,938.00",0.00,0.00,0.00,Very Low,62.42,0.00,123.25,0.00,185.66,3.56,Very Low,0.00,0.00,0.00,14.30,286.21,3.59,Very Low,December 2025
24085,T15003001804,Hawaii,HI,15,Honolulu,County,003,15003,001804,15003001804,1785,"379,517,647.00",0.00,0.06,1.00,0.01,0.06,"379,517,647.00","1,785.00","24,454,500,000.00",0.00,"24,834,017,647.00",0.00,0.00,0.00,Very Low,47.19,0.00,75.81,0.00,122.99,2.58,Very Low,0.00,0.00,0.00,15.65,137.62,1.73,Very Low,December 2025
24086,T15003001901,Hawaii,HI,15,Honolulu,County,003,15003,001901,15003001901,316,"1,603,325,164.00",0.00,0.68,1.00,0.01,0.43,"1,603,325,164.00",316.00,"4,329,200,000.00",0.00,"5,932,525,164.00",0.00,0.00,0.00,Very Low,199.35,0.00,13.42,0.00,212.77,3.97,Very Low,0.00,0.00,0.00,29.89,358.96,4.54,Very Low,December 2025
24087,T15003001905,Hawaii,HI,15,Honolulu,County,003,15003,001905,15003001905,1377,"84,778,194.00",0.00,0.02,1.00,0.01,0.02,"84,778,194.00","1,377.00","18,864,900,000.00",0.00,"18,949,678,194.00",0.00,0.00,0.00,Very Low,10.54,0.00,58.48,0.00,69.02,1.65,Very Low,0.00,0.00,0.00,9.27,117.30,1.44,Very Low,December 2025
24088,T15003001906,Hawaii,HI,15,Honolulu,County,003,15003,001906,15003001906,2877,"418,901,604.00",0.00,0.04,1.00,0.01,0.04,"418,901,604.00","2,877.00","39,414,900,000.00",0.00,"39,833,801,604.00",0.00,0.00,0.00,Very Low,52.08,0.00,122.18,0.00,174.27,3.36,Very Low,0.00,0.00,0.00,13.20,229.50,2.90,Very Low,December 2025
24089,T15003001907,Hawaii,HI,15,Honolulu,County,003,15003,001907,15003001907,2546,"350,428,745.00",0.00,0.03,1.00,0.01,0.03,"350,428,745.00","2,546.00","34,880,200,000.00",0.00,"35,230,628,745.00",0.00,0.00,0.00,Very Low,43.57,0.00,108.13,0.00,151.70,3.02,Very Low,0.00,0.00,0.00,12.91,158.90,2.02,Very Low,December 2025
24090,T15003002003,Hawaii,HI,15,Honolulu,County,003,15003,002003,15003002003,2126,"755,720,411.00",0.00,0.06,1.00,0.01,0.06,"755,720,411.00","2,126.00","29,126,200,000.00",0.00,"29,881,920,411.00",0.00,0.00,0.00,Very Low,93.96,0.00,90.29,0.00,184.25,3.53,Very Low,0.00,0.00,0.00,19.20,296.57,3.73,Very Low,December 2025
24091,T15003002004,Hawaii,HI,15,Honolulu,County,003,15003,002004,15003002004,1140,"566,529,696.00",0.00,0.06,1.00,0.01,0.06,"566,529,696.00","1,140.00","15,618,000,000.00",0.00,"16,184,529,696.00",0.00,0.00,0.00,Very Low,70.44,0.00,48.41,0.00,118.85,2.51,Very Low,0.00,0.00,0.00,21.38,198.49,2.51,Very Low,December 2025
24092,T15003002005,Hawaii,HI,15,Honolulu,County,003,15003,002005,15003002005,1834,"334,266,428.00",0.00,0.05,1.00,0.01,0.05,"334,266,428.00","1,834.00","25,125,800,000.00",0.00,"25,460,066,428.00",0.00,0.00,0.00,Very Low,41.56,0.00,77.89,0.00,119.45,2.52,Very Low,0.00,0.00,0.00,14.73,189.37,2.38,Very Low,December 2025
24093,T15003002006,Hawaii,HI,15,Honolulu,County,003,15003,002006,15003002006,2267,"493,561,229.00",0.00,0.06,1.00,0.01,0.06,"493,561,229.00","2,267.00","31,057,900,000.00",0.00,"31,551,461,229.00",0.00,0.00,0.00,Very Low,61.37,0.00,96.28,0.00,157.64,3.12,Very Low,0.00,0.00,0.00,15.98,218.32,2.76,Very Low,December 2025
24094,T15003002101,Hawaii,HI,15,Honolulu,County,003,15003,002101,15003002101,1746,"234,350,020.00",0.00,0.30,1.00,0.01,0.30,"234,350,020.00","1,746.00","23,920,200,000.00",0.00,"24,154,550,020.00",0.00,0.00,0.00,Very Low,29.14,0.00,74.15,0.00,103.29,2.23,Very Low,0.00,0.00,0.00,12.86,133.22,1.65,Very Low,December 2025
24095,T15003002102,Hawaii,HI,15,Honolulu,County,003,15003,002102,15003002102,1839,"337,381,117.00",0.00,0.16,1.00,0.01,0.16,"337,381,117.00","1,839.00","25,194,300,000.00",0.00,"25,531,681,117.00",0.00,0.00,0.00,Very Low,41.95,0.00,78.10,0.00,120.05,2.53,Very Low,0.00,0.00,0.00,14.89,190.50,2.40,Very Low,December 2025
24096,T15003002203,Hawaii,HI,15,Honolulu,County,003,15003,002203,15003002203,1836,"179,442,941.00",0.00,0.08,1.00,0.01,0.08,"179,442,941.00","1,836.00","25,153,200,000.00",0.00,"25,332,642,941.00",0.00,0.00,0.00,Very Low,22.31,0.00,77.97,0.00,100.28,2.19,Very Low,0.00,0.00,0.00,11.28,139.73,1.77,Very Low,December 2025
24097,T15003002204,Hawaii,HI,15,Honolulu,County,003,15003,002204,15003002204,1308,"132,058,991.00",0.00,0.02,1.00,0.01,0.02,"132,058,991.00","1,308.00","17,919,600,000.00",0.00,"18,051,658,991.00",0.00,0.00,0.00,Very Low,16.42,0.00,55.55,0.00,71.97,1.70,Very Low,0.00,0.00,0.00,11.41,106.06,1.32,Very Low,December 2025
24098,T15003002205,Hawaii,HI,15,Honolulu,County,003,15003,002205,15003002205,1888,"348,422,413.00",0.00,0.07,1.00,0.01,0.07,"348,422,413.00","1,888.00","25,865,600,000.00",0.00,"26,214,022,413.00",0.00,0.00,0.00,Very Low,43.32,0.00,80.18,0.00,123.50,2.59,Very Low,0.00,0.00,0.00,14.69,166.43,2.12,Very Low,December 2025
24099,T15003002206,Hawaii,HI,15,Honolulu,County,003,15003,002206,15003002206,1961,"162,642,507.00",0.00,0.04,1.00,0.01,0.04,"162,642,507.00","1,961.00","26,865,700,000.00",0.00,"27,028,342,507.00",0.00,0.00,0.00,Very Low,20.22,0.00,83.28,0.00,103.50,2.24,Very Low,0.00,0.00,0.00,10.60,177.78,2.26,Very Low,December 2025
24100,T15003002301,Hawaii,HI,15,Honolulu,County,003,15003,002301,15003002301,3250,"293,853,640.00",0.00,0.08,1.00,0.01,0.08,"293,853,640.00","3,250.00","44,525,000,000.00",0.00,"44,818,853,640.00",0.00,0.00,0.00,Very Low,36.54,0.00,138.02,0.00,174.56,3.37,Very Low,0.00,0.00,0.00,11.02,189.80,2.39,Very Low,December 2025
24101,T15003002302,Hawaii,HI,15,Honolulu,County,003,15003,002302,15003002302,2087,"243,898,370.00",0.00,0.06,1.00,0.01,0.06,"243,898,370.00","2,087.00","28,591,900,000.00",0.00,"28,835,798,370.00",0.00,0.00,0.00,Very Low,30.32,0.00,88.63,0.00,118.96,2.51,Very Low,0.00,0.00,0.00,12.26,127.48,1.58,Very Low,December 2025
24102,T15003002401,Hawaii,HI,15,Honolulu,County,003,15003,002401,15003002401,2912,"265,210,473.00",0.00,0.07,1.00,0.01,0.07,"265,210,473.00","2,912.00","39,894,400,000.00",0.00,"40,159,610,473.00",0.00,0.00,0.00,Very Low,32.97,0.00,123.67,0.00,156.64,3.10,Very Low,0.00,0.00,0.00,11.20,200.62,2.54,Very Low,December 2025
24103,T15003002403,Hawaii,HI,15,Honolulu,County,003,15003,002403,15003002403,1567,"180,068,729.00",0.00,0.04,1.00,0.01,0.04,"180,068,729.00","1,567.00","21,467,900,000.00",0.00,"21,647,968,729.00",0.00,0.00,0.00,Very Low,22.39,0.00,66.55,0.00,88.94,1.98,Very Low,0.00,0.00,0.00,12.05,129.16,1.60,Very Low,December 2025
24104,T15003002404,Hawaii,HI,15,Honolulu,County,003,15003,002404,15003002404,1423,"187,805,692.00",0.00,0.06,1.00,0.01,0.06,"187,805,692.00","1,423.00","19,495,100,000.00",0.00,"19,682,905,692.00",0.00,0.00,0.00,Very Low,23.35,0.00,60.43,0.00,83.78,1.90,Very Low,0.00,0.00,0.00,12.82,130.57,1.62,Very Low,December 2025
24105,T15003002500,Hawaii,HI,15,Honolulu,County,003,15003,002500,15003002500,3941,"598,349,571.00",0.00,0.17,1.00,0.01,0.17,"598,349,571.00","3,941.00","53,991,700,000.00",0.00,"54,590,049,571.00",0.00,0.00,0.00,Very Low,74.39,0.00,167.37,0.00,241.77,4.42,Very Low,0.00,0.00,0.00,13.95,388.95,4.89,Very Low,December 2025
24106,T15003002600,Hawaii,HI,15,Honolulu,County,003,15003,002600,15003002600,4174,"1,928,651,249.00",0.00,0.26,1.00,0.01,0.26,"1,928,651,249.00","4,174.00","57,183,800,000.00",0.00,"59,112,451,249.00",0.00,0.00,0.00,Very Low,239.80,0.00,177.27,0.00,417.06,6.99,Very Low,0.00,0.00,0.00,20.98,569.02,6.68,Very Low,December 2025
24107,T15003002701,Hawaii,HI,15,Honolulu,County,003,15003,002701,15003002701,4078,"1,795,731,621.00",0.00,0.58,1.00,0.01,0.58,"1,795,731,621.00","4,078.00","55,868,600,000.00",0.00,"57,664,331,621.00",0.00,0.00,0.00,Very Low,223.27,0.00,173.19,0.00,396.46,6.77,Very Low,0.00,0.00,0.00,20.66,478.09,5.88,Very Low,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,"1,033,613,532.00",0.00,0.40,1.00,0.01,0.40,"1,033,613,532.00","4,705.00","64,458,500,000.00",0.00,"65,492,113,532.00",0.00,0.00,0.00,Very Low,128.51,0.00,199.82,0.00,328.33,5.80,Very Low,0.00,0.00,0.00,16.23,385.43,4.85,Very Low,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,"410,886,116.00",0.00,0.26,1.00,0.01,0.26,"410,886,116.00","1,778.00","24,358,600,000.00",0.00,"24,769,486,116.00",0.00,0.00,0.00,Very Low,51.09,0.00,75.51,0.00,126.60,2.64,Very Low,0.00,0.00,0.00,16.31,193.35,2.44,Very Low,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,"336,826,557.00",0.00,0.64,1.00,0.01,0.64,"336,826,557.00","2,353.00","32,236,100,000.00",0.00,"32,572,926,557.00",0.00,0.00,0.00,Very Low,41.88,0.00,99.93,0.00,141.81,2.88,Very Low,0.00,0.00,0.00,13.47,159.66,2.04,Very Low,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,"332,975,387.00",0.00,0.46,1.00,0.01,0.46,"332,975,387.00","2,251.00","30,838,700,000.00",0.00,"31,171,675,387.00",0.00,0.00,0.00,Very Low,41.40,0.00,95.60,0.00,137.00,2.81,Very Low,0.00,0.00,0.00,13.57,107.72,1.35,Very Low,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,"911,851,857.00",0.00,0.59,1.00,0.01,0.59,"911,851,857.00","4,305.00","58,978,500,000.00",0.00,"59,890,351,857.00",0.00,0.00,0.00,Very Low,113.37,0.00,182.83,0.00,296.20,5.27,Very Low,0.00,0.00,0.00,16.03,317.58,4.00,Very Low,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,"626,336,494.00",0.00,1.52,1.00,0.01,1.52,"626,336,494.00","3,345.00","45,826,500,000.00",0.00,"46,452,836,494.00",0.00,0.00,0.00,Very Low,77.87,0.00,142.06,0.00,219.93,4.08,Very Low,0.00,0.00,0.00,14.93,233.21,2.94,Very Low,December 2025
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,"254,393,001.00",0.00,1.76,1.00,0.01,1.76,"254,393,001.00","1,567.00","21,467,900,000.00",0.00,"21,722,293,001.00",0.00,0.00,0.00,Very Low,31.63,0.00,66.55,0.00,98.18,2.14,Very Low,0.00,0.00,0.00,14.06,104.56,1.30,Very Low,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,"416,250,673.00",0.00,0.34,1.00,0.01,0.34,"416,250,673.00","2,175.00","29,797,500,000.00",0.00,"30,213,750,673.00",0.00,0.00,0.00,Very Low,51.75,0.00,92.37,0.00,144.12,2.93,Very Low,0.00,0.00,0.00,15.25,137.51,1.72,Very Low,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,"611,754,376.00",0.00,0.10,1.00,0.01,0.10,"611,754,376.00","4,517.00","61,882,900,000.00",0.00,"62,494,654,376.00",0.00,0.00,0.00,Very Low,76.06,0.00,191.83,0.00,267.89,4.83,Very Low,0.00,0.00,0.00,12.91,413.07,5.17,Very Low,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,"252,146,055.00",0.00,0.04,1.00,0.01,0.04,"252,146,055.00","2,256.00","30,907,200,000.00",0.00,"31,159,346,055.00",0.00,0.00,0.00,Very Low,31.35,0.00,95.81,0.00,127.16,2.65,Very Low,0.00,0.00,0.00,11.98,149.86,1.90,Very Low,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,"241,294,964.00",0.00,0.03,1.00,0.01,0.03,"241,294,964.00","1,901.00","26,043,700,000.00",0.00,"26,284,994,964.00",0.00,0.00,0.00,Very Low,30.00,0.00,80.73,0.00,110.73,2.37,Very Low,0.00,0.00,0.00,12.51,128.67,1.59,Very Low,December 2025
24119,T15003003410,Hawaii,HI,15,Honolulu,County,003,15003,003410,15003003410,1482,"153,741,416.00",0.00,0.03,1.00,0.01,0.03,"153,741,416.00","1,482.00","20,303,400,000.00",0.00,"20,457,141,416.00",0.00,0.00,0.00,Very Low,19.12,0.00,62.94,0.00,82.05,1.87,Very Low,0.00,0.00,0.00,11.59,87.61,1.08,Very Low,December 2025
24120,T15003003411,Hawaii,HI,15,Honolulu,County,003,15003,003411,15003003411,1231,"139,895,379.00",0.00,0.02,1.00,0.01,0.02,"139,895,379.00","1,231.00","16,864,700,000.00",0.00,"17,004,595,379.00",0.00,0.00,0.00,Very Low,17.39,0.00,52.28,0.00,69.67,1.66,Very Low,0.00,0.00,0.00,12.03,67.46,0.79,Very Low,December 2025
24121,T15003003412,Hawaii,HI,15,Honolulu,County,003,15003,003412,15003003412,1618,"239,808,140.00",0.00,0.06,1.00,0.01,0.06,"239,808,140.00","1,618.00","22,166,600,000.00",0.00,"22,406,408,140.00",0.00,0.00,0.00,Very Low,29.82,0.00,68.71,0.00,98.53,2.15,Very Low,0.00,0.00,0.00,13.41,107.06,1.34,Very Low,December 2025
24122,T15003003413,Hawaii,HI,15,Honolulu,County,003,15003,003413,15003003413,2532,"295,198,402.00",0.00,0.06,1.00,0.01,0.06,"295,198,402.00","2,532.00","34,688,400,000.00",0.00,"34,983,598,402.00",0.00,0.00,0.00,Very Low,36.70,0.00,107.53,0.00,144.23,2.93,Very Low,0.00,0.00,0.00,12.14,154.86,1.98,Very Low,December 2025
24123,T15003003414,Hawaii,HI,15,Honolulu,County,003,15003,003414,15003003414,4118,"546,844,676.00",0.00,0.10,1.00,0.01,0.10,"546,844,676.00","4,118.00","56,416,600,000.00",0.00,"56,963,444,676.00",0.00,0.00,0.00,Very Low,67.99,0.00,174.89,0.00,242.88,4.43,Very Low,0.00,0.00,0.00,12.86,376.65,4.74,Very Low,December 2025
24124,T15003003501,Hawaii,HI,15,Honolulu,County,003,15003,003501,15003003501,2286,"596,224,147.00",0.00,0.12,1.00,0.01,0.12,"596,224,147.00","2,286.00","31,318,200,000.00",0.00,"31,914,424,147.00",0.00,0.00,0.00,Very Low,74.13,0.00,97.08,0.00,171.21,3.32,Very Low,0.00,0.00,0.00,17.14,291.21,3.66,Very Low,December 2025
24125,T15003003503,Hawaii,HI,15,Honolulu,County,003,15003,003503,15003003503,1500,"420,496,843.00",0.00,0.07,1.00,0.01,0.07,"420,496,843.00","1,500.00","20,550,000,000.00",0.00,"20,970,496,843.00",0.00,0.00,0.00,Very Low,52.28,0.00,63.70,0.00,115.99,2.47,Very Low,0.00,0.00,0.00,17.59,196.32,2.48,Very Low,December 2025
24126,T15003003504,Hawaii,HI,15,Honolulu,County,003,15003,003504,15003003504,2712,"475,249,248.00",0.00,0.09,1.00,0.01,0.09,"475,249,248.00","2,712.00","37,154,400,000.00",0.00,"37,629,649,248.00",0.00,0.00,0.00,Very Low,59.09,0.00,115.18,0.00,174.27,3.36,Very Low,0.00,0.00,0.00,14.53,272.52,3.42,Very Low,December 2025
24127,T15003003603,Hawaii,HI,15,Honolulu,County,003,15003,003603,15003003603,3181,"343,897,583.00",0.00,0.06,1.00,0.01,0.06,"343,897,583.00","3,181.00","43,579,700,000.00",0.00,"43,923,597,583.00",0.00,0.00,0.00,Very Low,42.76,0.00,135.09,0.00,177.85,3.42,Very Low,0.00,0.00,0.00,11.90,286.65,3.60,Very Low,December 2025
24128,T15003003604,Hawaii,HI,15,Honolulu,County,003,15003,003604,15003003604,2554,"556,555,954.00",0.00,0.07,1.00,0.01,0.07,"556,555,954.00","2,554.00","34,989,800,000.00",0.00,"35,546,355,954.00",0.00,0.00,0.00,Very Low,69.20,0.00,108.47,0.00,177.66,3.42,Very Low,0.00,0.00,0.00,15.84,290.48,3.65,Very Low,December 2025
24129,T15003003605,Hawaii,HI,15,Honolulu,County,003,15003,003605,15003003605,1036,"302,668,789.00",0.00,0.06,1.00,0.01,0.06,"302,668,789.00","1,036.00","14,193,200,000.00",0.00,"14,495,868,789.00",0.00,0.00,0.00,Very Low,37.63,0.00,44.00,0.00,81.63,1.86,Very Low,0.00,0.00,0.00,17.86,106.98,1.33,Very Low,December 2025
24130,T15003003606,Hawaii,HI,15,Honolulu,County,003,15003,003606,15003003606,3058,"599,291,146.00",0.00,0.09,1.00,0.01,0.09,"599,291,146.00","3,058.00","41,894,600,000.00",0.00,"42,493,891,146.00",0.00,0.00,0.00,Very Low,74.51,0.00,129.87,0.00,204.38,3.85,Very Low,0.00,0.00,0.00,15.39,216.92,2.75,Very Low,December 2025
