OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Strong Wind - Number of Events,Strong Wind - Annualized Frequency,Strong Wind - Exposure - Impacted Area (sq mi),Strong Wind - Exposure - Building Value,Strong Wind - Exposure - Population,Strong Wind - Exposure - Population Equivalence,Strong Wind - Exposure - Agriculture Value,Strong Wind - Exposure - Total,Strong Wind - Historic Loss Ratio - Buildings,Strong Wind - Historic Loss Ratio - Population,Strong Wind - Historic Loss Ratio - Agriculture,Strong Wind - Historic Loss Ratio - Total Rating,Strong Wind - Expected Annual Loss - Building Value,Strong Wind - Expected Annual Loss - Population,Strong Wind - Expected Annual Loss - Population Equivalence,Strong Wind - Expected Annual Loss - Agriculture Value,Strong Wind - Expected Annual Loss - Total,Strong Wind - Expected Annual Loss Score,Strong Wind - Expected Annual Loss Rating,Strong Wind - Expected Annual Loss Rate - Building,Strong Wind - Expected Annual Loss Rate - Population,Strong Wind - Expected Annual Loss Rate - Agriculture,Strong Wind - Expected Annual Loss Rate - National Percentile,Strong Wind - Hazard Type Risk Index Value,Strong Wind - Hazard Type Risk Index Score,Strong Wind - Hazard Type Risk Index Rating,National Risk Index Version
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,1.00,0.01,6.75,"686,393,852.00","4,531.00","62,074,700,000.00","489,784.00","62,761,583,636.00",0.00,0.00,0.00,Very Low,85.34,0.00,165.64,2.12,253.10,4.60,Very Low,0.00,0.00,0.00,16.54,290.94,3.65,Very Low,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,1.00,0.01,88.73,"1,680,242,360.00","6,109.00","83,693,300,000.00","474,845.00","85,374,017,205.00",0.00,0.00,0.00,Very Low,218.19,0.00,223.97,2.11,444.27,7.28,Very Low,0.00,0.00,0.00,20.66,432.62,5.37,Very Low,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,1.00,0.01,4.31,"1,324,028,715.00","3,787.00","51,881,900,000.00","542,345.00","53,206,471,060.00",0.00,0.00,0.00,Very Low,164.62,0.00,138.44,2.35,305.41,5.43,Very Low,0.00,0.00,0.00,21.68,275.42,3.45,Very Low,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,1.00,0.01,2.58,"751,565,820.00","4,120.00","56,444,000,000.00","686,809.00","57,196,252,629.00",0.00,0.00,0.00,Very Low,93.44,0.00,150.61,2.98,247.03,4.51,Very Low,0.00,0.00,0.00,18.08,257.57,3.24,Very Low,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,1.00,0.01,1.94,"837,355,859.00","4,452.00","60,992,400,000.00","158,411.00","61,829,914,270.00",0.00,0.00,0.00,Very Low,104.11,0.00,162.75,0.69,267.55,4.82,Very Low,0.00,0.00,0.00,16.85,311.23,3.92,Very Low,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,1.00,0.01,1.12,"883,520,606.00","3,832.00","52,498,400,000.00",0.00,"53,381,920,606.00",0.00,0.00,0.00,Very Low,109.85,0.00,140.08,0.00,249.93,4.55,Very Low,0.00,0.00,0.00,17.51,241.18,3.03,Very Low,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,1.00,0.01,42.04,"1,270,230,035.00","6,366.00","87,214,200,000.00","4,790,189.00","88,489,220,224.00",0.00,0.00,0.00,Very Low,197.11,0.00,289.98,25.95,513.04,7.90,Very Low,0.00,0.00,0.00,26.85,532.98,6.39,Very Low,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,1.00,0.01,162.24,"884,836,317.00","3,795.00","51,991,500,000.00","18,715,023.00","52,895,051,340.00",0.00,0.00,0.00,Very Low,134.17,0.00,163.80,98.57,396.54,6.77,Very Low,0.00,0.00,0.00,49.14,465.01,5.74,Very Low,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,1.00,0.01,63.10,"866,377,170.00","4,997.00","68,458,900,000.00","12,871,697.00","69,338,148,867.00",0.00,0.00,0.00,Very Low,134.65,0.00,228.34,69.76,432.75,7.15,Very Low,0.00,0.00,0.00,41.03,435.99,5.41,Very Low,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,1.00,0.01,79.66,"2,527,025,217.00","4,152.00","56,882,400,000.00","3,646,817.00","59,413,072,034.00",0.00,0.00,0.00,Very Low,392.74,0.00,189.73,19.76,602.23,8.57,Very Low,0.00,0.00,0.00,31.13,730.96,7.86,Very Low,December 2025
