OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Wildfire - Number of Events,Wildfire - Annualized Frequency,Wildfire - Exposure - Impacted Area (sq mi),Wildfire - Exposure - Building Value,Wildfire - Exposure - Population,Wildfire - Exposure - Population Equivalence,Wildfire - Exposure - Agriculture Value,Wildfire - Exposure - Total,Wildfire - Historic Loss Ratio - Buildings,Wildfire - Historic Loss Ratio - Population,Wildfire - Historic Loss Ratio - Agriculture,Wildfire - Historic Loss Ratio - Total Rating,Wildfire - Expected Annual Loss - Building Value,Wildfire - Expected Annual Loss - Population,Wildfire - Expected Annual Loss - Population Equivalence,Wildfire - Expected Annual Loss - Agriculture Value,Wildfire - Expected Annual Loss - Total,Wildfire - Expected Annual Loss Score,Wildfire - Expected Annual Loss Rating,Wildfire - Expected Annual Loss Rate - Building,Wildfire - Expected Annual Loss Rate - Population,Wildfire - Expected Annual Loss Rate - Agriculture,Wildfire - Expected Annual Loss Rate - National Percentile,Wildfire - Hazard Type Risk Index Value,Wildfire - Hazard Type Risk Index Score,Wildfire - Hazard Type Risk Index Rating,National Risk Index Version
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,,0.00,5.04,"134,117,927.58",913.27,"12,511,826,287.65","3,796,410.49","12,649,740,625.72",0.30,0.00,0.00,Relatively Moderate,"59,292.93",0.00,"3,374.56",25.35,"62,692.84",93.21,Relatively Moderate,0.00,0.00,0.00,95.03,"74,384.98",93.31,Relatively Moderate,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,,0.00,31.11,"366,025,902.27","2,579.10","35,333,649,536.11","15,342,470.46","35,715,017,908.83",0.30,0.00,0.00,Relatively Moderate,"353,850.29",0.00,"20,529.12",134.62,"374,514.03",97.72,Relatively High,0.00,0.00,0.00,97.39,"368,774.99",97.46,Relatively High,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,,0.00,0.31,"328,722,990.61","1,142.62","15,653,933,578.83",0.00,"15,982,656,569.44",0.30,0.00,0.00,Relatively Moderate,"176,725.08",0.00,"4,977.41",0.00,"181,702.48",96.31,Relatively Moderate,0.00,0.00,0.00,97.45,"294,274.59",97.03,Relatively High,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,,0.00,0.50,"231,925,728.70",987.02,"13,522,128,714.07","623,857.74","13,754,678,300.51",0.30,0.00,0.00,Relatively Moderate,"78,074.51",0.00,"3,128.69",2.81,"81,206.02",94.10,Relatively Moderate,0.00,0.00,0.00,95.72,"140,219.67",95.33,Relatively Moderate,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,,0.00,0.33,"86,819,515.73",546.12,"7,481,866,965.49","555,280.82","7,569,241,762.03",0.30,0.00,0.00,Relatively Moderate,"41,402.78",0.00,"2,055.76",2.37,"43,460.92",91.83,Relatively Moderate,0.00,0.00,0.00,96.85,"43,907.92",91.26,Relatively Moderate,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,,0.00,0.47,"210,882,091.78","1,796.04","24,605,738,708.67","223,387.48","24,816,844,187.93",0.30,0.00,0.00,Relatively Moderate,"155,141.55",0.00,"12,766.73",0.95,"167,909.23",96.12,Relatively Moderate,0.00,0.00,0.00,95.76,"193,011.20",96.13,Relatively Moderate,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,,0.00,0.61,"204,798,165.17","1,193.63","16,352,746,613.51","164,063.73","16,557,708,842.41",0.30,0.00,0.00,Relatively Moderate,"77,199.04",0.00,"4,832.54",2.05,"82,033.63",94.13,Relatively Moderate,0.00,0.00,0.00,94.05,"79,882.27",93.57,Relatively Moderate,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,,0.00,0.27,"247,499,672.04",850.01,"11,645,167,496.61","229,789.67","11,892,896,958.32",0.30,0.00,0.00,Relatively Moderate,"106,380.59",0.00,"3,635.24",1.22,"110,017.04",95.03,Relatively Moderate,0.00,0.00,0.00,96.48,"99,213.40",94.31,Relatively Moderate,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,,0.00,0.37,"185,841,977.70",940.50,"12,884,870,939.78","409,731.25","13,071,122,648.72",0.30,0.00,0.00,Relatively Moderate,"79,463.48",0.00,"3,734.25",2.24,"83,199.97",94.18,Relatively Moderate,0.00,0.00,0.00,96.33,"86,747.40",93.85,Relatively Moderate,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,,0.00,0.32,"217,361,488.93","1,345.48","18,433,072,723.25","85,361.62","18,650,519,573.79",0.30,0.00,0.00,Relatively Moderate,"69,395.22",0.00,"4,260.76",0.32,"73,656.31",93.76,Relatively Moderate,0.00,0.00,0.00,95.25,"85,683.15",93.79,Relatively Moderate,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,,0.00,0.11,"105,594,201.48",578.10,"7,919,910,721.59",0.00,"8,025,504,923.07",0.30,0.00,0.00,Relatively Moderate,"28,715.59",0.00,"1,555.73",0.00,"30,271.32",90.28,Relatively Moderate,0.00,0.00,0.00,93.67,"29,211.00",89.31,Relatively Moderate,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,,0.01,14.61,"456,626,911.22","2,312.28","31,678,254,785.95","4,540,767.85","32,139,422,465.03",0.30,0.00,0.00,Relatively High,"971,660.80",0.00,"41,470.23",109.03,"1,013,240.06",98.95,Relatively High,0.00,0.00,0.00,98.74,"1,052,622.32",98.83,Relatively High,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,,0.01,76.42,"427,274,930.37","2,030.83","27,822,384,744.67","17,962,985.64","28,267,622,660.68",0.30,0.00,0.00,Relatively High,"1,046,295.06",0.00,"44,773.24",696.57,"1,091,764.87",99.01,Relatively High,0.00,0.00,0.00,98.98,"1,280,256.08",99.03,Relatively High,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,,0.02,54.79,"289,380,736.95","1,626.91","22,288,719,330.20","12,658,071.28","22,590,758,138.43",0.30,0.00,0.00,Relatively High,"1,994,198.45",0.01,"93,465.43",845.27,"2,088,509.16",99.54,Very High,0.00,0.00,0.00,99.05,"2,104,167.03",99.45,Very High,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,,0.02,15.69,"352,209,441.06","1,147.34","15,718,587,972.75","3,577,599.64","16,074,375,013.45",0.30,0.00,0.00,Relatively High,"2,189,879.44",0.01,"88,073.52",161.18,"2,278,114.14",99.59,Very High,0.00,0.00,0.00,98.95,"2,765,051.25",99.63,Very High,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,,0.01,77.88,"734,710,263.19","3,809.91","52,195,778,347.91","23,072,539.91","52,953,561,151.02",0.30,0.00,0.00,Relatively High,"1,881,075.46",0.01,"79,423.94",494.50,"1,960,993.89",99.49,Very High,0.00,0.00,0.00,99.09,"2,125,950.87",99.46,Very High,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,,0.00,39.81,"283,961,298.77","1,996.84","27,356,694,886.28","11,314,893.46","27,651,971,078.51",0.30,0.00,0.00,Relatively Moderate,"176,449.79",0.00,"11,946.26",114.07,"188,510.12",96.38,Relatively High,0.00,0.00,0.00,96.47,"251,711.26",96.72,Relatively High,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,,0.01,123.91,"195,186,792.22","1,562.63","21,408,049,308.82","30,380,594.53","21,633,616,695.58",0.30,0.00,0.00,Relatively Moderate,"182,453.77",0.00,"13,229.29",469.33,"196,152.40",96.48,Relatively High,0.00,0.00,0.00,96.97,"219,335.87",96.42,Relatively High,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,,0.00,48.48,"188,963,711.50","1,028.19","14,086,173,393.67","14,791,637.82","14,289,928,742.99",0.30,0.00,0.00,Relatively Moderate,"162,745.72",0.00,"7,223.04",182.04,"170,150.80",96.15,Relatively Moderate,0.00,0.00,0.00,98.24,"220,475.97",96.43,Relatively High,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,,0.00,0.03,"36,792,892.09",371.44,"5,088,761,986.05","1,301.39","5,125,556,179.53",0.30,0.00,0.00,Relatively Moderate,"49,637.35",0.00,"5,516.22",0.02,"55,153.60",92.75,Relatively Moderate,0.00,0.00,0.00,93.69,"43,367.50",91.20,Relatively Moderate,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,,0.01,0.01,"10,994,735.38",76.74,"1,051,318,042.88",0.00,"1,062,312,778.26",0.30,0.00,0.00,Relatively Moderate,"22,027.69",0.00,"1,446.91",0.00,"23,474.60",88.98,Relatively Moderate,0.00,0.00,0.00,93.02,"23,782.73",88.22,Relatively Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,,0.00,0.05,"78,132,606.76",501.03,"6,864,139,457.88",0.00,"6,942,272,064.64",0.30,0.00,0.00,Relatively Moderate,"71,908.61",0.00,"4,374.82",0.00,"76,283.42",93.88,Relatively Moderate,0.00,0.00,0.00,95.59,"90,939.08",94.02,Relatively Moderate,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,,0.00,0.04,"66,683,181.74",155.78,"2,134,198,263.28",0.00,"2,200,881,445.02",0.30,0.00,0.00,Relatively Moderate,"22,122.72",0.00,475.12,0.00,"22,597.84",88.81,Relatively Moderate,0.00,0.00,0.00,95.50,"20,541.68",87.46,Relatively Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,,0.01,0.03,"63,799,196.57",448.40,"6,143,107,215.43",0.00,"6,206,906,412.00",0.30,0.00,0.00,Relatively Moderate,"123,855.98",0.00,"8,401.80",0.00,"132,257.78",95.54,Relatively Moderate,0.00,0.00,0.00,96.70,"151,734.68",95.54,Relatively Moderate,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,,0.01,0.01,"17,166,162.96",203.09,"2,782,348,496.08",0.00,"2,799,514,659.04",0.30,0.00,0.00,Relatively Moderate,"37,203.37",0.00,"4,042.47",0.00,"41,245.84",91.62,Relatively Moderate,0.00,0.00,0.00,93.71,"43,418.10",91.21,Relatively Moderate,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,,0.00,0.03,"25,901,704.97",444.84,"6,094,271,655.04",0.00,"6,120,173,360.01",0.30,0.00,0.00,Relatively Low,"17,302.99",0.00,"2,802.37",0.00,"20,105.37",88.24,Relatively Low,0.00,0.00,0.00,90.78,"15,808.93",85.97,Relatively Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,,0.01,0.03,"24,743,929.37",192.54,"2,637,846,612.01","25,818.20","2,662,616,359.58",0.30,0.00,0.00,Relatively Moderate,"49,656.85",0.00,"3,648.62",0.55,"53,306.03",92.62,Relatively Moderate,0.00,0.00,0.00,95.86,"41,914.75",91.03,Relatively Moderate,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,,0.00,0.01,"811,602.50",72.58,"994,367,620.45",0.00,"995,179,222.94",0.30,0.00,0.00,Relatively Low,158.02,0.00,396.15,0.00,554.17,60.44,Very Low,0.00,0.00,0.00,22.95,435.75,56.61,Very Low,December 2025
