OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24023,T15001021108,Hawaii,HI,15,Hawaii,County,001,15001,021108,15001021108,6319,786920666,7720087,49.29340689,99.1462526716302,Very High,96.7816091954023,9554338.14710908,8143565.85964242,0.102956750562005,1410507.48270486,264.804352323342,0.0116169612031347,1.62932031273944E-05,3.85045296349635E-05,97.1710078211241,97.2768244681484,December 2025
24024,T15001021203,Hawaii,HI,15,Hawaii,County,001,15001,021203,15001021203,6079,750961781,38673971,803.04911739,99.2636869671419,Very High,97.2413793103448,10170766.5246368,7754333.83324718,0.176014468831975,2411398.22305044,5034.4691183441,0.0115913904760413,2.89545104181567E-05,0.000146131483565821,91.449608943796,92.014793145684,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,375920365,31687785,477.39262038,91.4895366042699,Relatively High,85.0574712643678,3744958.25271995,3319945.21854449,0.0309111128207271,423482.245699466,1530.78877427532,0.00991388646730434,1.15426112101296E-05,5.42290838602646E-05,98.4886206167649,98.5111721546383,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,374194684,16997086,330.62202615,87.6517838269488,Relatively High,80.9195402298851,3164874.8271879,2855441.69768524,0.0225280426292251,308634.184045318,798.945618902073,0.00856612802071449,1.072763934725E-05,5.27656929447185E-05,98.9266505390234,98.9737552471668,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,420741753,40385,1.17849459,69.5081851703972,Relatively Moderate,60.4597701149425,1965241.90305662,1899684.17148114,0.00478511054099119,65556.0144953793,1.71521539790089,0.00506844419417056,1.74639070839094E-06,4.76779818735481E-05,99.6312563120934,97.6109783216201,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,708351504,0,0.53624688,81.4359865655166,Relatively Moderate,71.264367816092,2597064.01703513,2377537.35975586,0.0160238435515035,219526.655825378,0,0.0037677962259675,4.987190647838E-06,0,96.1575498508584,94.8152640528938,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,738534784,0,2.99674791,86.1650656457712,Relatively High,79.3103448275862,2997082.9490006,2887053.51380956,0.00803134559734591,110029.435791039,0,0.0043882640899419,1.88795148033519E-06,0,99.0898842097846,99.1973172558953,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,581702437,0,0.75316683,74.1397937853771,Relatively Moderate,64.8275862068965,2168923.11100107,2050369.5540407,0.00865354411476603,118553.554509699,0,0.00395676391227495,5.02528694237284E-06,0,97.8803109660145,95.4621668866612,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,416834188,0,1.20195075,34.0336331822345,Relatively Low,28.735632183908,1016713.99025721,916376.716527723,0.00732388862062153,100337.274887451,0,0.00246785472651909,2.64019056258887E-06,0,88.4444653216525,88.323641682423,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,332294641,0,0.4710576,19.3496488714564,Very Low,17.4712643678161,727767.499700362,666945.597692787,0.00443955514420255,60821.905007575,0,0.00225307656669128,1.77582205768102E-06,0,87.1667801864857,84.2543374597172,December 2025
