OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Landslide - Number of Events,Landslide - Annualized Frequency,Landslide - Exposure - Impacted Area (sq mi),Landslide - Exposure - Building Value,Landslide - Exposure - Population,Landslide - Exposure - Population Equivalence,Landslide - Exposure - Total,Landslide - Historic Loss Ratio - Buildings,Landslide - Historic Loss Ratio - Population,Landslide - Historic Loss Ratio - Total Rating,Landslide - Expected Annual Loss - Building Value,Landslide - Expected Annual Loss - Population,Landslide - Expected Annual Loss - Population Equivalence,Landslide - Expected Annual Loss - Total,Landslide - Expected Annual Loss Score,Landslide - Expected Annual Loss Rating,Landslide - Expected Annual Loss Rate - Building,Landslide - Expected Annual Loss Rate - Population,Landslide - Expected Annual Loss Rate - National Percentile,Landslide - Hazard Type Risk Index Value,Landslide - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Rating,National Risk Index Version
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,,0.37,0.47,"37,848,286.30",157.74,"2,160,988,528.73","2,198,836,815.03",0.00,0.00,Relatively Low,56.77,0.00,240.37,297.14,86.50,Relatively Low,0.00,0.00,40.73,308.69,86.88,Relatively Low,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,,0.26,0.14,"4,455,800.91",22.12,"303,015,180.55","307,470,981.46",0.00,0.00,Relatively Low,4.75,0.00,23.97,28.72,70.88,Very Low,0.00,0.00,32.48,33.68,72.22,Very Low,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,,0.07,0.50,"22,679,523.42",134.54,"1,843,257,136.95","1,865,936,660.37",0.00,0.00,Very Low,6.29,0.00,37.91,44.20,74.37,Very Low,0.00,0.00,30.86,44.53,74.47,Very Low,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,,0.13,0.53,"30,018,658.24",58.27,"798,314,072.06","828,332,730.30",0.00,0.00,Very Low,16.19,0.00,31.92,48.11,75.00,Very Low,0.00,0.00,47.40,58.39,76.55,Very Low,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,,0.74,1.39,"51,339,034.52",218.21,"2,989,520,502.04","3,040,859,536.56",0.00,0.00,Relatively Low,153.74,0.00,663.84,817.58,91.04,Relatively Low,0.00,0.00,41.83,886.35,91.53,Relatively Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,,0.90,0.79,"31,502,223.15",169.85,"2,326,906,409.75","2,358,408,632.90",0.00,0.00,Relatively Low,115.00,0.00,629.90,744.90,90.67,Relatively Low,0.00,0.00,38.21,994.64,91.97,Relatively Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,,3.24,0.84,"25,566,603.55",167.87,"2,299,852,821.07","2,325,419,424.62",0.00,0.00,Relatively Low,335.01,0.00,"2,234.64","2,569.65",94.70,Relatively Low,0.00,0.00,36.35,"2,873.36",95.18,Relatively Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,,1.54,1.01,"43,236,033.24",276.40,"3,786,661,411.33","3,829,897,444.57",0.00,0.00,Relatively Low,269.32,0.00,"1,749.08","2,018.41",94.06,Relatively Low,0.00,0.00,36.65,"2,615.39",94.96,Relatively Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,,0.00,0.07,"15,171,704.36",103.77,"1,421,693,520.62","1,436,865,224.98",0.00,0.00,Relatively Moderate,30.33,0.00,"3,797.36","3,827.69",95.61,Relatively Low,0.00,0.00,11.29,"3,009.73",95.28,Relatively Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,,0.00,0.03,"3,910,652.00",26.65,"365,171,534.52","369,082,186.53",0.00,0.00,Very Low,0.11,0.00,13.34,13.45,64.28,Very Low,0.00,0.00,9.87,13.62,64.24,Very Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,,0.00,0.18,"61,506,415.06",393.60,"5,392,344,061.88","5,453,850,476.95",0.00,0.00,Relatively Moderate,191.69,0.00,"22,452.23","22,643.92",98.40,Relatively Moderate,0.00,0.00,11.59,"26,994.29",98.81,Relatively Moderate,December 2025
