OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Hurricane - Number of Events,Hurricane - Annualized Frequency,Hurricane - Exposure - Impacted Area (sq mi),Hurricane - Exposure - Building Value,Hurricane - Exposure - Population,Hurricane - Exposure - Population Equivalence,Hurricane - Exposure - Agriculture Value,Hurricane - Exposure - Total,Hurricane - Historic Loss Ratio - Buildings,Hurricane - Historic Loss Ratio - Population,Hurricane - Historic Loss Ratio - Agriculture,Hurricane - Historic Loss Ratio - Total Rating,Hurricane - Expected Annual Loss - Building Value,Hurricane - Expected Annual Loss - Population,Hurricane - Expected Annual Loss - Population Equivalence,Hurricane - Expected Annual Loss - Agriculture Value,Hurricane - Expected Annual Loss - Total,Hurricane - Expected Annual Loss Score,Hurricane - Expected Annual Loss Rating,Hurricane - Expected Annual Loss Rate - Building,Hurricane - Expected Annual Loss Rate - Population,Hurricane - Expected Annual Loss Rate - Agriculture,Hurricane - Expected Annual Loss Rate - National Percentile,Hurricane - Hazard Type Risk Index Value,Hurricane - Hazard Type Risk Index Score,Hurricane - Hazard Type Risk Index Rating,National Risk Index Version
24013,T15001020900,Hawaii,HI,15,Hawaii,County,001,15001,020900,15001020900,4802,"640,400,631.00","702,684.00",11.20,2,0.06,11.20,"640,400,631.00","4,802","65,787,400,000.00","702,684.00","66,428,503,315.00",0.00,0.00,0.00,Very Low,"7,730.24",0.00,"1,259.97",22.05,"9,012.26",51.17,Relatively Low,0.00,0.00,0.00,44.53,"9,925.79",51.48,Relatively Low,December 2025
24014,T15001021003,Hawaii,HI,15,Hawaii,County,001,15001,021003,15001021003,7423,"635,749,363.00","696,038.00",13.21,2,0.05,13.21,"620,699,484.31","7,216","98,864,194,546.59","684,911.02","99,485,578,941.91",0.00,0.00,0.00,Very Low,"7,327.26",0.00,"1,847.20",21.07,"9,195.53",51.30,Relatively Low,0.00,0.00,0.00,40.14,"11,604.95",52.51,Relatively Low,December 2025
24015,T15001021011,Hawaii,HI,15,Hawaii,County,001,15001,021011,15001021011,4388,"672,076,421.00","2,483,796.00",96.08,3,0.08,96.08,"672,076,421.00","4,388","60,115,600,000.00","2,483,796.00","60,790,160,217.00",0.00,0.00,0.00,Relatively Low,"10,884.69",0.00,"1,480.29",108.41,"12,473.39",53.28,Relatively Low,0.00,0.00,0.00,47.61,"14,457.89",53.95,Relatively Low,December 2025
24016,T15001021013,Hawaii,HI,15,Hawaii,County,001,15001,021013,15001021013,4811,"1,380,195,816.00","34,616,680.00",54.38,2,0.05,52.28,"1,352,332,108.20","4,728","64,768,296,395.80","34,436,761.26","66,155,065,265.26",0.00,0.00,0.00,Relatively Low,"15,964.07",0.00,"1,210.14","1,059.52","18,233.74",56.06,Relatively Low,0.00,0.00,0.00,48.62,"25,374.29",58.29,Relatively Low,December 2025
24017,T15001021014,Hawaii,HI,15,Hawaii,County,001,15001,021014,15001021014,8402,"866,576,171.00","104,965.00",8.05,2,0.05,8.05,"823,235,723.27","7,873","107,856,769,475.06","104,965.00","108,680,110,163.33",0.00,0.00,0.00,Very Low,"9,718.17",0.00,"2,015.22",3.23,"11,736.62",52.86,Relatively Low,0.00,0.00,0.00,41.95,"13,936.26",53.71,Relatively Low,December 2025
24018,T15001021015,Hawaii,HI,15,Hawaii,County,001,15001,021015,15001021015,6080,"681,492,125.00","110,929.00",8.11,2,0.05,7.03,"664,825,743.03","5,917","81,066,635,186.28","110,929.00","81,731,571,858.30",0.00,0.00,0.00,Very Low,"7,848.16",0.00,"1,514.67",3.41,"9,366.24",51.44,Relatively Low,0.00,0.00,0.00,42.77,"12,213.98",52.85,Relatively Low,December 2025
24019,T15001021016,Hawaii,HI,15,Hawaii,County,001,15001,021016,15001021016,5525,"451,640,221.00","916,719.00",27.09,0,0.05,27.09,"451,640,221.00","5,525","75,692,500,000.00","916,719.00","76,145,056,940.00",0.00,0.00,0.00,Very Low,"5,331.54",0.00,"1,414.25",28.21,"6,774.00",49.30,Very Low,0.00,0.00,0.00,39.77,"11,433.78",52.43,Relatively Low,December 2025
24020,T15001021017,Hawaii,HI,15,Hawaii,County,001,15001,021017,15001021017,4572,"417,551,918.00","899,243.00",31.88,3,0.06,31.88,"414,903,376.28","4,513","61,824,326,732.28","899,243.00","62,240,129,351.56",0.00,0.00,0.00,Very Low,"6,477.77",0.00,"1,450.69",28.34,"7,956.80",50.40,Very Low,0.00,0.00,0.00,42.92,"11,529.61",52.46,Relatively Low,December 2025
24021,T15001021101,Hawaii,HI,15,Hawaii,County,001,15001,021101,15001021101,2793,"591,940,025.00","12,858,548.00",45.82,3,0.05,41.47,"591,940,025.00","2,793","38,264,100,000.00","12,858,548.00","38,868,898,573.00",0.00,0.00,0.00,Relatively Low,"6,987.76",0.00,714.93,395.62,"8,098.32",50.51,Very Low,0.00,0.00,0.00,47.38,"13,850.32",53.67,Relatively Low,December 2025
24022,T15001021107,Hawaii,HI,15,Hawaii,County,001,15001,021107,15001021107,1365,"293,448,012.00","2,593,586.00",186.19,6,0.06,185.27,"293,448,012.00","1,365","18,700,500,000.00","2,593,586.00","18,996,541,598.00",0.00,0.00,0.00,Relatively Low,"3,492.15",0.00,353.74,85.10,"3,930.99",45.07,Very Low,0.00,0.00,0.00,47.38,"6,572.14",48.65,Very Low,December 2025
