OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24026,T15001021300,Hawaii,HI,15,Hawaii,County,001,15001,021300,15001021300,5913,"975,908,646.00","40,875,946.00",338.78,0.00,0.00,156.66,"975,908,646.00","5,913.00","81,008,100,000.00","40,875,946.00","82,024,884,592.00",0.00,0.00,0.00,Very Low,887.55,0.00,462.61,24.55,"1,374.71",4.01,Very Low,0.00,0.00,0.00,6.52,"1,412.61",3.46,Very Low,December 2025
24027,T15001021402,Hawaii,HI,15,Hawaii,County,001,15001,021402,15001021402,3876,"906,219,252.00","5,340,816.00",18.82,0.00,0.00,13.57,"906,219,252.00","3,876.00","53,101,200,000.00","5,340,816.00","54,012,760,068.00",0.01,0.00,0.00,Very Low,823.44,0.00,303.12,1.53,"1,128.10",3.42,Very Low,0.00,0.00,0.00,5.61,"1,338.49",3.34,Very Low,December 2025
24028,T15001021502,Hawaii,HI,15,Hawaii,County,001,15001,021502,15001021502,5432,"950,596,034.00","16,940,046.00",365.81,0.00,0.00,105.91,"950,596,034.00","5,432.00","74,418,400,000.00","16,940,046.00","75,385,936,080.00",0.00,0.00,0.00,Very Low,863.83,0.00,424.84,15.13,"1,303.81",3.84,Very Low,0.00,0.00,0.00,6.09,"1,283.83",3.23,Very Low,December 2025
24029,T15001021504,Hawaii,HI,15,Hawaii,County,001,15001,021504,15001021504,5932,"1,489,513,611.00","16,685.00",14.92,1.00,0.00,11.67,"1,489,513,611.00","5,932.00","81,268,400,000.00","16,685.00","82,757,930,296.00",0.01,0.00,0.01,Very Low,"1,353.46",0.00,463.91,0.01,"1,817.38",4.97,Very Low,0.00,0.00,0.00,5.61,"2,943.33",6.11,Very Low,December 2025
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,0.00,0.00,10.13,"1,253,964,520.00","3,550.00","48,635,000,000.00","1,263,701.00","49,890,228,221.00",0.01,0.00,0.00,Very Low,"1,139.42",0.00,277.63,0.47,"1,417.53",4.11,Very Low,0.00,0.00,0.00,6.05,"2,447.66",5.20,Very Low,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,0.00,0.00,1.28,"261,669,134.00","1,568.00","21,481,600,000.00","806,989.00","21,744,076,123.00",0.11,0.00,0.03,Very Low,237.77,0.00,122.63,0.17,360.57,1.85,Very Low,0.00,0.00,0.00,5.02,364.28,1.76,Very Low,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,0.00,0.00,4.84,"686,393,852.00","4,531.00","62,074,700,000.00","489,784.00","62,761,583,636.00",0.02,0.00,0.01,Very Low,623.70,0.00,354.35,0.23,978.27,3.07,Very Low,0.00,0.00,0.00,4.86,"1,124.52",2.93,Very Low,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,0.00,0.00,52.89,"1,680,242,360.00","6,109.00","83,693,300,000.00","474,845.00","85,374,017,205.00",0.00,0.00,0.00,Very Low,"1,566.81",0.00,477.87,1.04,"2,045.72",5.49,Very Low,0.00,0.00,0.00,5.87,"1,992.07",4.40,Very Low,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,0.00,0.00,4.83,"1,324,028,715.00","3,787.00","51,881,900,000.00","542,345.00","53,206,471,060.00",0.03,0.00,0.01,Very Low,"1,203.09",0.00,296.16,0.16,"1,499.41",4.30,Very Low,0.00,0.00,0.00,6.04,"1,352.16",3.36,Very Low,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,0.00,0.00,2.40,"751,565,820.00","4,120.00","56,444,000,000.00","686,809.00","57,196,252,629.00",0.06,0.00,0.01,Very Low,682.91,0.00,322.21,0.14,"1,005.26",3.13,Very Low,0.00,0.00,0.00,5.13,"1,048.12",2.79,Very Low,December 2025
