OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Population Equivalence,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Buildings,Tsunami - Historic Loss Ratio - Population,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Expected Annual Loss Rate - Building,Tsunami - Expected Annual Loss Rate - Population,Tsunami - Expected Annual Loss Rate - National Percentile,Tsunami - Hazard Type Risk Index Value,Tsunami - Hazard Type Risk Index Score,Tsunami - Hazard Type Risk Index Rating,National Risk Index Version
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,147.00,0.66,1.20,"565,079,562.84",860.27,"11,785,733,220.43","12,350,812,783.27",0.00,0.00,Relatively Low,"28,851.08",0.00,0.00,"28,851.08",58.38,Relatively Low,0.00,0.00,77.54,"33,099.83",57.96,Relatively Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,147.00,0.66,0.47,"469,506,301.46",489.85,"6,710,898,646.62","7,180,404,948.08",0.00,0.00,Relatively Low,"15,559.04",0.00,0.00,"15,559.04",52.16,Relatively Low,0.00,0.00,74.11,"16,378.48",50.23,Relatively Low,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,147.00,0.66,0.34,"321,235,801.45",645.88,"8,848,588,235.29","9,169,824,036.75",0.00,0.00,Relatively Low,"15,407.77",0.00,0.00,"15,407.77",52.03,Relatively Low,0.00,0.00,78.11,"12,115.19",47.47,Very Low,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,147.00,0.66,1.07,"280,198,039.65",0.00,0.00,"280,198,039.65",0.00,0.00,Very Low,92.77,0.00,0.00,92.77,23.29,Very Low,0.00,0.00,41.81,72.94,19.30,Very Low,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,147.00,0.66,0.29,"244,040,213.57",268.36,"3,676,589,120.47","3,920,629,334.04",0.00,0.00,Relatively Low,"19,946.91",0.00,0.00,"19,946.91",54.70,Relatively Low,0.00,0.00,76.71,"15,684.34",49.54,Relatively Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,147.00,0.66,0.87,"379,098,011.31",114.81,"1,572,910,018.10","1,952,008,029.41",0.00,0.00,Relatively Low,"8,305.49",0.00,0.00,"8,305.49",47.40,Very Low,0.00,0.00,65.80,"9,617.68",45.71,Very Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,147.00,0.66,0.32,"864,175,829.80","1,171.08","16,043,837,203.46","16,908,013,033.27",0.00,0.00,Relatively Low,"214,351.57",0.00,0.00,"214,351.57",77.92,Relatively Moderate,0.00,0.00,90.74,"168,545.52",76.34,Relatively Low,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,147.00,0.66,0.46,"333,834,180.37",43.99,"602,697,378.28","936,531,558.64",0.00,0.00,Relatively Low,"3,292.34",0.00,0.00,"3,292.34",40.42,Very Low,0.00,0.00,59.84,"3,921.21",38.51,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,147.00,0.66,3.97,"1,667,229,146.64","4,040.80","55,358,893,092.56","57,026,122,239.21",0.00,0.00,Relatively Moderate,"1,539,942.37",0.00,0.00,"1,539,942.37",92.32,Relatively High,0.00,0.00,96.45,"1,210,862.98",92.65,Relatively Moderate,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,147.00,0.66,3.34,"1,085,382,253.76",874.29,"11,977,705,027.47","13,063,087,281.24",0.00,0.00,Relatively Low,"242,762.28",0.00,0.00,"242,762.28",79.38,Relatively Moderate,0.00,0.00,86.36,"269,119.25",80.55,Relatively Moderate,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,147.00,0.66,0.71,"810,135,122.46","1,390.89","19,055,196,261.90","19,865,331,384.37",0.00,0.00,Relatively Moderate,"1,086,850.01",0.00,0.00,"1,086,850.01",90.48,Relatively Moderate,0.00,0.00,97.34,"854,594.60",90.74,Relatively Moderate,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,147.00,0.66,1.17,"1,527,368,673.25",270.35,"3,703,731,898.52","5,231,100,571.77",0.00,0.00,Relatively Low,"66,928.33",0.00,0.00,"66,928.33",67.01,Relatively Low,0.00,0.00,74.24,"67,975.15",65.70,Relatively Low,December 2025
24063,T15003000500,Hawaii,HI,15,Honolulu,County,003,15003,000500,15003000500,3872,"1,555,396,221.00",0.00,1.53,147.00,0.66,1.12,"2,476,563,917.65","3,000.20","41,102,688,347.45","43,579,252,265.10",0.00,0.00,Relatively Moderate,"1,718,170.11",0.00,0.00,"1,718,170.11",92.96,Relatively High,0.00,0.00,95.75,"1,646,962.35",94.03,Relatively Moderate,December 2025
24064,T15003000600,Hawaii,HI,15,Honolulu,County,003,15003,000600,15003000600,1276,"607,852,535.00",0.00,1.54,147.00,0.66,1.21,"479,669,465.43",176.11,"2,412,676,094.28","2,892,345,559.70",0.00,0.00,Relatively Low,"25,495.70",0.00,0.00,"25,495.70",57.17,Relatively Low,0.00,0.00,73.16,"26,692.81",55.82,Relatively Low,December 2025
24065,T15003000700,Hawaii,HI,15,Honolulu,County,003,15003,000700,15003000700,3215,"603,550,524.00",0.00,0.38,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24066,T15003000800,Hawaii,HI,15,Honolulu,County,003,15003,000800,15003000800,3770,"988,495,965.00",0.00,0.44,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24067,T15003000901,Hawaii,HI,15,Honolulu,County,003,15003,000901,15003000901,2613,"376,119,907.00",0.00,0.33,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24068,T15003000903,Hawaii,HI,15,Honolulu,County,003,15003,000903,15003000903,3039,"442,498,564.00",0.00,0.24,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24069,T15003000904,Hawaii,HI,15,Honolulu,County,003,15003,000904,15003000904,1975,"354,072,809.00",0.00,0.25,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24070,T15003000905,Hawaii,HI,15,Honolulu,County,003,15003,000905,15003000905,2357,"490,748,993.00",0.00,0.33,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24071,T15003001000,Hawaii,HI,15,Honolulu,County,003,15003,001000,15003001000,3145,"326,647,639.00","15,612.00",3.28,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24072,T15003001101,Hawaii,HI,15,Honolulu,County,003,15003,001101,15003001101,1961,"169,190,035.00",0.00,0.12,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24073,T15003001102,Hawaii,HI,15,Honolulu,County,003,15003,001102,15003001102,2249,"185,074,403.00",0.00,0.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24074,T15003001201,Hawaii,HI,15,Honolulu,County,003,15003,001201,15003001201,3022,"440,272,231.00",0.00,0.21,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24075,T15003001202,Hawaii,HI,15,Honolulu,County,003,15003,001202,15003001202,3254,"339,011,590.00",0.00,0.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24076,T15003001300,Hawaii,HI,15,Honolulu,County,003,15003,001300,15003001300,4434,"831,364,011.00",0.00,0.36,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24077,T15003001400,Hawaii,HI,15,Honolulu,County,003,15003,001400,15003001400,2655,"393,739,190.00",0.00,0.20,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24078,T15003001501,Hawaii,HI,15,Honolulu,County,003,15003,001501,15003001501,1473,"189,696,231.00",0.00,0.09,147.00,0.66,0.09,"196,867,003.14",0.00,0.00,"196,867,003.14",0.00,0.00,Relatively Low,"2,701.49",0.00,0.00,"2,701.49",39.09,Very Low,0.00,0.00,64.72,"3,071.29",36.60,Very Low,December 2025
24079,T15003001502,Hawaii,HI,15,Honolulu,County,003,15003,001502,15003001502,2334,"332,852,179.00",0.00,0.13,147.00,0.66,0.13,"135,436,243.55",0.00,0.00,"135,436,243.55",0.00,0.00,Relatively Low,"1,151.12",0.00,0.00,"1,151.12",34.14,Very Low,0.00,0.00,54.76,"1,080.81",29.79,Very Low,December 2025
24080,T15003001601,Hawaii,HI,15,Honolulu,County,003,15003,001601,15003001601,1981,"316,741,887.00",0.00,0.12,147.00,0.66,0.12,"462,264,050.84",822.66,"11,270,471,473.47","11,732,735,524.31",0.00,0.00,Relatively Low,"94,497.19",0.00,0.00,"94,497.19",70.43,Relatively Low,0.00,0.00,88.13,"100,561.84",70.83,Relatively Low,December 2025
24081,T15003001602,Hawaii,HI,15,Honolulu,County,003,15003,001602,15003001602,1784,"242,244,281.00",0.00,0.12,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24082,T15003001700,Hawaii,HI,15,Honolulu,County,003,15003,001700,15003001700,2327,"568,690,702.00",0.00,1.03,147.00,0.66,0.54,"852,755,973.13",898.89,"12,314,754,720.34","13,167,510,693.47",0.00,0.00,Relatively Moderate,"333,040.40",0.00,0.00,"333,040.40",82.23,Relatively Moderate,0.00,0.00,93.02,"434,379.58",85.45,Relatively Moderate,December 2025
24083,T15003001801,Hawaii,HI,15,Honolulu,County,003,15003,001801,15003001801,1119,"1,046,165,932.00",0.00,0.07,147.00,0.66,0.07,"1,671,723,347.79","1,075.00","14,727,500,000.00","16,399,223,347.79",0.00,0.00,Relatively Low,"347,784.15",0.00,0.00,"347,784.15",82.68,Relatively Moderate,0.00,0.00,89.28,"498,387.38",87.37,Relatively Moderate,December 2025
24084,T15003001803,Hawaii,HI,15,Honolulu,County,003,15003,001803,15003001803,2902,"502,012,938.00",0.00,0.05,147.00,0.66,0.05,"763,387,628.77","2,902.00","39,757,400,000.00","40,520,787,628.77",0.00,0.00,Relatively Low,"253,729.41",0.00,0.00,"253,729.41",79.70,Relatively Moderate,0.00,0.00,92.20,"391,141.62",84.53,Relatively Moderate,December 2025
24085,T15003001804,Hawaii,HI,15,Honolulu,County,003,15003,001804,15003001804,1785,"379,517,647.00",0.00,0.06,147.00,0.66,0.06,"594,998,266.43","1,785.00","24,454,500,000.00","25,049,498,266.43",0.00,0.00,Relatively Low,"124,077.87",0.00,0.00,"124,077.87",73.41,Relatively Low,0.00,0.00,88.96,"138,832.82",74.81,Relatively Low,December 2025
24086,T15003001901,Hawaii,HI,15,Honolulu,County,003,15003,001901,15003001901,316,"1,603,325,164.00",0.00,0.68,147.00,0.66,0.43,"2,650,282,196.35",313.00,"4,288,100,000.00","6,938,382,196.35",0.00,0.00,Relatively High,"1,042,741.91",0.00,0.00,"1,042,741.91",90.29,Relatively Moderate,0.00,0.00,93.53,"1,759,234.94",94.49,Relatively Moderate,December 2025
24087,T15003001905,Hawaii,HI,15,Honolulu,County,003,15003,001905,15003001905,1377,"84,778,194.00",0.00,0.02,147.00,0.66,0.02,"132,293,175.93","1,377.00","18,864,900,000.00","18,997,193,175.93",0.00,0.00,Relatively Low,"55,701.50",0.00,0.00,"55,701.50",65.04,Relatively Low,0.00,0.00,93.65,"94,664.36",69.68,Relatively Low,December 2025
24088,T15003001906,Hawaii,HI,15,Honolulu,County,003,15003,001906,15003001906,2877,"418,901,604.00",0.00,0.04,147.00,0.66,0.04,"681,194,663.12","2,877.00","39,414,900,000.00","40,096,094,663.12",0.00,0.00,Relatively Low,"200,282.41",0.00,0.00,"200,282.41",77.22,Relatively Moderate,0.00,0.00,91.69,"263,762.68",80.32,Relatively Moderate,December 2025
24089,T15003001907,Hawaii,HI,15,Honolulu,County,003,15003,001907,15003001907,2546,"350,428,745.00",0.00,0.03,147.00,0.66,0.03,"550,196,517.50","2,546.00","34,880,200,000.00","35,430,396,517.50",0.00,0.00,Relatively Low,"173,813.14",0.00,0.00,"173,813.14",75.70,Relatively Moderate,0.00,0.00,92.01,"182,063.36",77.34,Relatively Low,December 2025
24090,T15003002003,Hawaii,HI,15,Honolulu,County,003,15003,002003,15003002003,2126,"755,720,411.00",0.00,0.06,147.00,0.66,0.06,"1,266,900,404.90","2,058.00","28,194,600,000.00","29,461,500,404.90",0.00,0.00,Relatively Low,"369,377.64",0.00,0.00,"369,377.64",83.50,Relatively Moderate,0.00,0.00,91.88,"594,552.33",88.28,Relatively Moderate,December 2025
24091,T15003002004,Hawaii,HI,15,Honolulu,County,003,15003,002004,15003002004,1140,"566,529,696.00",0.00,0.06,147.00,0.66,0.06,"917,017,896.41","1,140.00","15,618,000,000.00","16,535,017,896.41",0.00,0.00,Relatively Low,"264,475.98",0.00,0.00,"264,475.98",80.08,Relatively Moderate,0.00,0.00,91.56,"441,692.89",85.76,Relatively Moderate,December 2025
24092,T15003002005,Hawaii,HI,15,Honolulu,County,003,15003,002005,15003002005,1834,"334,266,428.00",0.00,0.05,147.00,0.66,0.05,"520,312,232.67","1,834.00","25,125,800,000.00","25,646,112,232.67",0.00,0.00,Relatively Low,"159,180.00",0.00,0.00,"159,180.00",75.00,Relatively Low,0.00,0.00,91.62,"252,355.70",79.86,Relatively Moderate,December 2025
24093,T15003002006,Hawaii,HI,15,Honolulu,County,003,15003,002006,15003002006,2267,"493,561,229.00",0.00,0.06,147.00,0.66,0.06,"795,222,614.46","2,267.00","31,057,900,000.00","31,853,122,614.46",0.00,0.00,Relatively Low,"213,152.91",0.00,0.00,"213,152.91",77.86,Relatively Moderate,0.00,0.00,90.67,"295,195.98",81.47,Relatively Moderate,December 2025
24094,T15003002101,Hawaii,HI,15,Honolulu,County,003,15003,002101,15003002101,1746,"234,350,020.00",0.00,0.30,147.00,0.66,0.30,"376,057,251.40","1,603.71","21,970,851,528.38","22,346,908,779.79",0.00,0.00,Relatively Low,"63,013.11",0.00,0.00,"63,013.11",66.50,Relatively Low,0.00,0.00,87.31,"81,274.35",67.69,Relatively Low,December 2025
24095,T15003002102,Hawaii,HI,15,Honolulu,County,003,15003,002102,15003002102,1839,"337,381,117.00",0.00,0.16,147.00,0.66,0.16,"542,548,556.37",560.33,"7,676,558,278.67","8,219,106,835.04",0.00,0.00,Relatively Low,"24,406.57",0.00,0.00,"24,406.57",56.66,Relatively Low,0.00,0.00,77.98,"38,730.11",59.80,Relatively Low,December 2025
24096,T15003002203,Hawaii,HI,15,Honolulu,County,003,15003,002203,15003002203,1836,"179,442,941.00",0.00,0.08,147.00,0.66,0.08,"279,217,793.74","1,774.00","24,303,800,000.00","24,583,017,793.74",0.00,0.00,Relatively Low,"72,879.27",0.00,0.00,"72,879.27",67.89,Relatively Low,0.00,0.00,90.36,"101,545.46",71.21,Relatively Low,December 2025
24097,T15003002204,Hawaii,HI,15,Honolulu,County,003,15003,002204,15003002204,1308,"132,058,991.00",0.00,0.02,147.00,0.66,0.02,"201,127,897.39","1,308.00","17,919,600,000.00","18,120,727,897.39",0.00,0.00,Relatively Low,"89,174.37",0.00,0.00,"89,174.37",69.92,Relatively Low,0.00,0.00,93.78,"131,419.54",74.04,Relatively Low,December 2025
24098,T15003002205,Hawaii,HI,15,Honolulu,County,003,15003,002205,15003002205,1888,"348,422,413.00",0.00,0.07,147.00,0.66,0.07,"595,638,562.42","1,643.21","22,511,958,723.90","23,107,597,286.31",0.00,0.00,Relatively Low,"156,303.03",0.00,0.00,"156,303.03",74.81,Relatively Low,0.00,0.00,91.12,"210,631.41",78.48,Relatively Low,December 2025
24099,T15003002206,Hawaii,HI,15,Honolulu,County,003,15003,002206,15003002206,1961,"162,642,507.00",0.00,0.04,147.00,0.66,0.04,"246,601,280.77",419.69,"5,749,721,933.09","5,996,323,213.85",0.00,0.00,Very Low,"6,594.86",0.00,0.00,"6,594.86",45.88,Very Low,0.00,0.00,72.84,"11,327.33",47.01,Very Low,December 2025
24100,T15003002301,Hawaii,HI,15,Honolulu,County,003,15003,002301,15003002301,3250,"293,853,640.00",0.00,0.08,147.00,0.66,0.08,"328,430,839.52","1,567.19","21,470,547,534.17","21,798,978,373.69",0.00,0.00,Very Low,"21,799.32",0.00,0.00,"21,799.32",55.71,Relatively Low,0.00,0.00,78.36,"23,702.54",54.52,Relatively Low,December 2025
24101,T15003002302,Hawaii,HI,15,Honolulu,County,003,15003,002302,15003002302,2087,"243,898,370.00",0.00,0.06,147.00,0.66,0.06,"396,345,713.20","2,026.55","27,763,672,727.27","28,160,018,440.47",0.00,0.00,Relatively Low,"117,877.56",0.00,0.00,"117,877.56",73.03,Relatively Low,0.00,0.00,91.75,"126,327.02",73.58,Relatively Low,December 2025
24102,T15003002401,Hawaii,HI,15,Honolulu,County,003,15003,002401,15003002401,2912,"265,210,473.00",0.00,0.07,147.00,0.66,0.07,"401,265,844.37","2,912.00","39,894,400,000.00","40,295,665,844.37",0.00,0.00,Relatively Low,"279,380.23",0.00,0.00,"279,380.23",80.65,Relatively Moderate,0.00,0.00,95.56,"357,809.59",83.69,Relatively Moderate,December 2025
24103,T15003002403,Hawaii,HI,15,Honolulu,County,003,15003,002403,15003002403,1567,"180,068,729.00",0.00,0.04,147.00,0.66,0.04,"290,103,266.67","1,567.00","21,467,900,000.00","21,758,003,266.67",0.00,0.00,Relatively Low,"68,209.99",0.00,0.00,"68,209.99",67.20,Relatively Low,0.00,0.00,89.91,"99,055.40",70.44,Relatively Low,December 2025
24104,T15003002404,Hawaii,HI,15,Honolulu,County,003,15003,002404,15003002404,1423,"187,805,692.00",0.00,0.06,147.00,0.66,0.06,"303,939,206.54","1,411.40","19,336,146,653.14","19,640,085,859.68",0.00,0.00,Relatively Low,"62,539.93",0.00,0.00,"62,539.93",66.37,Relatively Low,0.00,0.00,89.34,"97,461.65",70.14,Relatively Low,December 2025
24105,T15003002500,Hawaii,HI,15,Honolulu,County,003,15003,002500,15003002500,3941,"598,349,571.00",0.00,0.17,147.00,0.66,0.17,"993,275,282.68","3,922.75","53,741,675,000.00","54,734,950,282.68",0.00,0.00,Relatively Low,"374,920.34",0.00,0.00,"374,920.34",83.69,Relatively Moderate,0.00,0.00,93.21,"603,175.57",88.44,Relatively Moderate,December 2025
24106,T15003002600,Hawaii,HI,15,Honolulu,County,003,15003,002600,15003002600,4174,"1,928,651,249.00",0.00,0.26,147.00,0.66,0.26,"1,352,185,869.17",651.91,"8,931,218,503.68","10,283,404,372.85",0.00,0.00,Relatively Low,"61,552.00",0.00,0.00,"61,552.00",66.18,Relatively Low,0.00,0.00,70.69,"83,979.02",67.99,Relatively Low,December 2025
24107,T15003002701,Hawaii,HI,15,Honolulu,County,003,15003,002701,15003002701,4078,"1,795,731,621.00",0.00,0.58,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,"1,033,613,532.00",0.00,0.40,147.00,0.66,0.40,"144,865,773.05",0.00,0.00,"144,865,773.05",0.00,0.00,Very Low,123.93,0.00,0.00,123.93,24.05,Very Low,0.00,0.00,37.69,145.49,21.06,Very Low,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,"410,886,116.00",0.00,0.26,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,"336,826,557.00",0.00,0.64,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,"332,975,387.00",0.00,0.46,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,"911,851,857.00",0.00,0.59,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,"626,336,494.00",0.00,1.52,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24114,T15003003103,Hawaii,HI,15,Honolulu,County,003,15003,003103,15003003103,1567,"254,393,001.00",0.00,1.76,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24115,T15003003104,Hawaii,HI,15,Honolulu,County,003,15003,003104,15003003104,2175,"416,250,673.00",0.00,0.34,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24116,T15003003404,Hawaii,HI,15,Honolulu,County,003,15003,003404,15003003404,4517,"611,754,376.00",0.00,0.10,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24117,T15003003408,Hawaii,HI,15,Honolulu,County,003,15003,003408,15003003408,2256,"252,146,055.00",0.00,0.04,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24118,T15003003409,Hawaii,HI,15,Honolulu,County,003,15003,003409,15003003409,1901,"241,294,964.00",0.00,0.03,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24119,T15003003410,Hawaii,HI,15,Honolulu,County,003,15003,003410,15003003410,1482,"153,741,416.00",0.00,0.03,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24120,T15003003411,Hawaii,HI,15,Honolulu,County,003,15003,003411,15003003411,1231,"139,895,379.00",0.00,0.02,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24121,T15003003412,Hawaii,HI,15,Honolulu,County,003,15003,003412,15003003412,1618,"239,808,140.00",0.00,0.06,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24122,T15003003413,Hawaii,HI,15,Honolulu,County,003,15003,003413,15003003413,2532,"295,198,402.00",0.00,0.06,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24123,T15003003414,Hawaii,HI,15,Honolulu,County,003,15003,003414,15003003414,4118,"546,844,676.00",0.00,0.10,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24124,T15003003501,Hawaii,HI,15,Honolulu,County,003,15003,003501,15003003501,2286,"596,224,147.00",0.00,0.12,147.00,0.66,0.12,"551,131,573.70",0.00,0.00,"551,131,573.70",0.00,0.00,Very Low,528.74,0.00,0.00,528.74,29.70,Very Low,0.00,0.00,46.95,899.31,28.79,Very Low,December 2025
24125,T15003003503,Hawaii,HI,15,Honolulu,County,003,15003,003503,15003003503,1500,"420,496,843.00",0.00,0.07,147.00,0.66,0.07,"76,558,768.46",0.00,0.00,"76,558,768.46",0.00,0.00,Very Low,57.10,0.00,0.00,57.10,22.14,Very Low,0.00,0.00,38.26,96.64,19.98,Very Low,December 2025
24126,T15003003504,Hawaii,HI,15,Honolulu,County,003,15003,003504,15003003504,2712,"475,249,248.00",0.00,0.09,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24127,T15003003603,Hawaii,HI,15,Honolulu,County,003,15003,003603,15003003603,3181,"343,897,583.00",0.00,0.06,147.00,0.66,0.06,"587,332,292.73","2,020.52","27,681,176,190.48","28,268,508,483.21",0.00,0.00,Very Low,"29,830.31",0.00,0.00,"29,830.31",59.01,Relatively Low,0.00,0.00,79.51,"48,078.35",62.33,Relatively Low,December 2025
24128,T15003003604,Hawaii,HI,15,Honolulu,County,003,15003,003604,15003003604,2554,"556,555,954.00",0.00,0.07,147.00,0.66,0.07,"1,014,911,237.55","2,357.00","32,290,900,000.00","33,305,811,237.55",0.00,0.00,Relatively Low,"235,920.58",0.00,0.00,"235,920.58",78.93,Relatively Moderate,0.00,0.00,90.55,"385,732.78",84.30,Relatively Moderate,December 2025
24129,T15003003605,Hawaii,HI,15,Honolulu,County,003,15003,003605,15003003605,1036,"302,668,789.00",0.00,0.06,147.00,0.66,0.06,"587,686,153.40","1,017.00","13,932,900,000.00","14,520,586,153.40",0.00,0.00,Relatively Low,"117,227.41",0.00,0.00,"117,227.41",72.84,Relatively Low,0.00,0.00,90.10,"153,628.80",75.88,Relatively Low,December 2025
24130,T15003003606,Hawaii,HI,15,Honolulu,County,003,15003,003606,15003003606,3058,"599,291,146.00",0.00,0.09,147.00,0.66,0.09,"998,108,563.76","2,779.04","38,072,855,731.92","39,070,964,295.69",0.00,0.00,Relatively Low,"88,372.13",0.00,0.00,"88,372.13",69.73,Relatively Low,0.00,0.00,82.99,"93,794.04",69.53,Relatively Low,December 2025
24131,T15003003701,Hawaii,HI,15,Honolulu,County,003,15003,003701,15003003701,2522,"403,859,237.00",0.00,0.07,147.00,0.66,0.07,"675,520,620.72","2,522.00","34,551,400,000.00","35,226,920,620.72",0.00,0.00,Relatively Low,"257,220.08",0.00,0.00,"257,220.08",79.95,Relatively Moderate,0.00,0.00,93.34,"377,142.98",84.07,Relatively Moderate,December 2025
24132,T15003003702,Hawaii,HI,15,Honolulu,County,003,15003,003702,15003003702,3929,"500,541,596.00",0.00,0.10,147.00,0.66,0.10,"888,197,498.17","3,380.00","46,306,000,000.00","47,194,197,498.17",0.00,0.00,Relatively Low,"221,861.99",0.00,0.00,"221,861.99",78.24,Relatively Moderate,0.00,0.00,90.99,"204,774.99",78.10,Relatively Low,December 2025
24133,T15003003703,Hawaii,HI,15,Honolulu,County,003,15003,003703,15003003703,3434,"1,568,260,956.00",0.00,0.88,147.00,0.66,0.52,"3,081,858,279.14","2,872.00","39,346,400,000.00","42,428,258,279.14",0.00,0.00,Relatively Low,"725,041.81",0.00,0.00,"725,041.81",88.45,Relatively Moderate,0.00,0.00,91.50,"954,855.98",91.58,Relatively Moderate,December 2025
