OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Buildings,Coastal Flooding - Historic Loss Ratio - Population,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Population,Coastal Flooding - Expected Annual Loss - Population Equivalence,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - Building,Coastal Flooding - Expected Annual Loss Rate - Population,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Coastal Flooding - Hazard Type Risk Index Value,Coastal Flooding - Hazard Type Risk Index Score,Coastal Flooding - Hazard Type Risk Index Rating,National Risk Index Version
24030,T15001021510,Hawaii,HI,15,Hawaii,County,001,15001,021510,15001021510,3550,"1,253,964,520.00","1,263,701.00",12.89,,0.78,0.07,"113,847,299.68",168.87,"2,313,486,333.80","2,427,333,633.48",0.00,0.00,Relatively Low,"8,635.25",0.00,6.36,"8,641.60",86.31,Relatively Low,0.00,0.00,91.66,"14,921.59",87.85,Relatively Low,December 2025
24031,T15001021511,Hawaii,HI,15,Hawaii,County,001,15001,021511,15001021511,1568,"261,669,134.00","806,989.00",1.37,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24032,T15001021512,Hawaii,HI,15,Hawaii,County,001,15001,021512,15001021512,4531,"686,393,852.00","489,784.00",6.75,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24033,T15001021513,Hawaii,HI,15,Hawaii,County,001,15001,021513,15001021513,6109,"1,680,242,360.00","474,845.00",107.38,,0.78,0.04,"36,482,727.31",3.80,"52,045,021.62","88,527,748.94",0.00,0.00,Relatively Moderate,"2,627.51",0.00,0.27,"2,627.79",81.42,Relatively Low,0.00,0.00,88.09,"2,558.87",80.80,Relatively Low,December 2025
24034,T15001021605,Hawaii,HI,15,Hawaii,County,001,15001,021605,15001021605,3787,"1,324,028,715.00","542,345.00",5.94,,0.78,0.10,"255,677,776.70",540.39,"7,403,406,094.68","7,659,083,871.38",0.00,0.00,Relatively Low,"15,075.32",0.00,12.25,"15,087.57",88.62,Relatively Low,0.00,0.00,93.19,"13,605.98",87.47,Relatively Low,December 2025
24035,T15001021606,Hawaii,HI,15,Hawaii,County,001,15001,021606,15001021606,4120,"751,565,820.00","686,809.00",2.58,,0.01,0.02,"29,021,173.63",150.69,"2,064,476,542.83","2,093,497,716.46",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,,0.01,0.02,"11,811,212.24",60.79,"832,880,875.05","844,692,087.29",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,,0.78,0.08,"152,206,471.00",443.86,"6,080,823,289.98","6,233,029,760.99",0.00,0.00,Relatively Low,"9,892.12",0.00,11.09,"9,903.21",86.87,Relatively Low,0.00,0.00,93.13,"9,556.32",85.96,Relatively Low,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,,0.01,0.10,"76,776,629.12",343.71,"4,708,882,949.36","4,785,659,578.47",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,,0.01,0.08,"52,830,849.62",194.91,"2,670,295,478.86","2,723,126,328.48",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
