OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24089,T15003001907,Hawaii,HI,15,Honolulu,County,003,15003,001907,15003001907,2546,"350,428,745.00",0.00,0.03,492.00,84.92,0.03,"350,428,745.00","2,546.00","34,880,200,000.00","35,230,628,745.00",0.00,0.00,Relatively High,954.29,0.00,"34,033.88","34,988.17",85.47,Relatively High,0.00,0.00,50.26,"36,648.92",82.95,Relatively High,December 2025
24090,T15003002003,Hawaii,HI,15,Honolulu,County,003,15003,002003,15003002003,2126,"755,720,411.00",0.00,0.06,"3,743.00",75.82,0.06,"755,720,411.00","2,126.00","29,126,200,000.00","29,881,920,411.00",0.00,0.00,Relatively High,"1,891.16",0.00,"25,182.81","27,073.97",77.98,Relatively High,0.00,0.00,73.95,"43,578.42",87.15,Relatively High,December 2025
24091,T15003002004,Hawaii,HI,15,Honolulu,County,003,15003,002004,15003002004,1140,"566,529,696.00",0.00,0.06,"1,140.00",73.41,0.06,"566,529,696.00","1,140.00","15,618,000,000.00","16,184,529,696.00",0.00,0.00,Relatively High,"1,366.77",0.00,"13,618.70","14,985.48",57.74,Relatively Moderate,0.00,0.00,79.72,"25,026.77",71.80,Relatively Moderate,December 2025
24092,T15003002005,Hawaii,HI,15,Honolulu,County,003,15003,002005,15003002005,1834,"334,266,428.00",0.00,0.05,"1,675.00",84.76,0.05,"334,266,428.00","1,834.00","25,125,800,000.00","25,460,066,428.00",0.00,0.00,Relatively High,946.57,0.00,"23,550.06","24,496.63",74.81,Relatively Moderate,0.00,0.00,60.44,"38,835.69",84.43,Relatively High,December 2025
24093,T15003002006,Hawaii,HI,15,Honolulu,County,003,15003,002006,15003002006,2267,"493,561,229.00",0.00,0.06,"3,696.00",77.00,0.06,"493,561,229.00","2,267.00","31,057,900,000.00","31,551,461,229.00",0.00,0.00,Relatively High,"1,251.21",0.00,"27,082.11","28,333.32",79.45,Relatively High,0.00,0.00,62.88,"39,238.88",84.68,Relatively High,December 2025
24094,T15003002101,Hawaii,HI,15,Honolulu,County,003,15003,002101,15003002101,1746,"234,350,020.00",0.00,0.30,"1,540.00",77.00,0.30,"234,350,020.00","1,746.00","23,920,200,000.00","24,154,550,020.00",0.00,0.00,Relatively High,594.09,0.00,"20,858.12","21,452.21",70.33,Relatively Moderate,0.00,0.00,49.82,"27,669.08",74.88,Relatively Moderate,December 2025
24095,T15003002102,Hawaii,HI,15,Honolulu,County,003,15003,002102,15003002102,1839,"337,381,117.00",0.00,0.16,"1,309.00",77.00,0.16,"337,381,117.00","1,839.00","25,194,300,000.00","25,531,681,117.00",0.00,0.00,Relatively High,855.28,0.00,"21,969.12","22,824.40",72.41,Relatively Moderate,0.00,0.00,58.49,"36,219.41",82.66,Relatively High,December 2025
24096,T15003002203,Hawaii,HI,15,Honolulu,County,003,15003,002203,15003002203,1836,"179,442,941.00",0.00,0.08,"1,215.00",77.54,0.08,"179,442,941.00","1,836.00","25,153,200,000.00","25,332,642,941.00",0.00,0.00,Relatively High,456.37,0.00,"22,005.43","22,461.80",71.87,Relatively Moderate,0.00,0.00,41.02,"31,296.87",78.58,Relatively High,December 2025
24097,T15003002204,Hawaii,HI,15,Honolulu,County,003,15003,002204,15003002204,1308,"132,058,991.00",0.00,0.02,477.00,82.10,0.02,"132,058,991.00","1,308.00","17,919,600,000.00","18,051,658,991.00",0.00,0.00,Relatively High,357.69,0.00,"16,671.74","17,029.43",62.31,Relatively Moderate,0.00,0.00,42.68,"25,096.90",71.88,Relatively Moderate,December 2025
24098,T15003002205,Hawaii,HI,15,Honolulu,County,003,15003,002205,15003002205,1888,"348,422,413.00",0.00,0.07,924.00,77.00,0.07,"348,422,413.00","1,888.00","25,865,600,000.00","26,214,022,413.00",0.00,0.00,Relatively High,883.27,0.00,"22,554.49","23,437.76",73.28,Relatively Moderate,0.00,0.00,58.60,"31,584.34",78.85,Relatively High,December 2025
